data_year,criminal_act_id,offense_id
2024,9,226531050
2024,9,226531055
2024,6,226531056
2024,9,231872558
2024,9,226531060
2024,9,226531062
2024,9,226531063
2024,1,226531066
2024,1,226531067
2024,6,226531067
2024,9,226531069
2024,9,226531073
2024,9,226531076
2024,9,226531079
2024,9,226531080
2024,9,226531082
2024,9,226531083
2024,9,226531084
2024,6,226531085
2024,9,226531086
2024,9,226531088
2024,9,226531090
2024,9,226531094
2024,9,226531098
2024,7,222268374
2024,9,222268381
2024,9,222268388
2024,8,222268401
2024,9,222268410
2024,6,222268416
2024,9,222268426
2024,9,222268428
2024,6,222268433
2024,6,222268451
2024,5,222268452
2024,5,222268453
2024,6,222268463
2024,6,222268464
2024,9,222268467
2024,6,222268478
2024,6,222268479
2024,6,225884444
2024,6,246859456
2024,6,222268490
2024,9,222268492
2024,9,222268497
2024,9,222268503
2024,6,222268507
2024,6,222268508
2024,6,222268511
2024,9,222268522
2024,6,222268525
2024,6,222268526
2024,6,225884451
2024,9,222268530
2024,1,222268534
2024,6,222268540
2024,6,222268544
2024,6,222268545
2024,12,225884461
2024,14,222268558
2024,5,222268562
2024,8,222268566
2024,9,231460781
2024,6,222268570
2024,6,222268571
2024,6,222268572
2024,6,222268573
2024,9,222268593
2024,9,242854524
2024,4,242854525
2024,6,225884476
2024,6,224256828
2024,6,222268601
2024,8,222268602
2024,6,222268609
2024,6,222268610
2024,6,222268612
2024,6,222268614
2024,9,222268615
2024,6,222268616
2024,6,222268617
2024,14,222268619
2024,6,222268620
2024,6,222268621
2024,6,222268622
2024,7,222268624
2024,5,222268629
2024,6,222268631
2024,6,222268632
2024,6,222268633
2024,6,222268634
2024,1,222268639
2024,9,222268645
2024,9,222268648
2024,9,222268654
2024,6,222268655
2024,8,222268666
2024,9,222268667
2024,9,222268669
2024,6,222268671
2024,6,222268672
2024,9,222268675
2024,6,246859457
2024,6,222268676
2024,6,225884481
2024,1,222268683
2024,6,222268689
2024,6,222268693
2024,6,222268694
2024,6,222268695
2024,6,222268696
2024,6,222268697
2024,6,222268701
2024,9,222268702
2024,6,222268703
2024,6,222268716
2024,6,222268717
2024,9,222268722
2024,6,225884483
2024,9,222268733
2024,6,222268734
2024,6,222268735
2024,6,222268736
2024,6,222268737
2024,6,222268738
2024,6,222268742
2024,9,229564685
2024,5,222268761
2024,9,222268765
2024,9,224256844
2024,6,224256845
2024,6,225884490
2024,9,227845154
2024,5,222268793
2024,8,224256847
2024,7,224256852
2024,6,222268804
2024,9,222268808
2024,3,224256854
2024,6,224256855
2024,7,222268809
2024,9,222268811
2024,5,222268812
2024,9,222268813
2024,9,222268814
2024,9,222268815
2024,9,222268819
2024,9,222268821
2024,5,222268822
2024,6,222268825
2024,6,222268826
2024,6,222268828
2024,6,222268829
2024,6,222268831
2024,9,222268833
2024,14,222268835
2024,9,222268842
2024,9,224256856
