data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,58075094,,51
2024,58075095,,51
2024,58623368,,51
2024,58623373,,51
2024,58623375,,51
2024,58623378,,51
2024,58623380,,53
2024,58623381,,51
2024,58623382,,51
2024,58623383,,51
2024,58623384,,51
2024,58623385,,51
2024,58623386,,51
2024,58623387,,51
2024,58623409,,51
2024,58623416,,51
2024,58623418,,51
2024,58623419,,51
2024,59062263,,51
2024,58623424,,51
2024,58623427,,51
2024,58623429,,51
2024,58623431,,51
2024,58623434,,53
2024,58623438,,51
2024,58623444,,51
2024,58623448,,51
2024,58623450,,51
2024,58623454,,51
2024,58623456,,51
2024,58623457,,51
2024,58623461,,51
2024,58623467,,51
2024,58623478,,51
2024,59062264,,51
2024,58623484,,51
2024,58623485,,51
2024,59062265,,51
2024,58623494,,51
2024,58623498,,51
2024,58623500,,51
2024,59062266,,52
2024,59062267,,51
2024,59062268,,51
2024,59062269,,13
2024,59062270,,51
2024,59062271,,51
2024,59062272,,51
2024,59062274,,51
2024,59062275,,51
2024,59062276,,51
2024,59062277,,51
2024,59062278,,51
2024,59062279,,51
2024,59062280,,51
2024,59062281,,51
2024,59062282,,51
2024,59062287,,51
2024,59062288,,5
2024,59062289,,53
2024,59062290,,13
2024,59062291,,51
2024,59062292,,51
2024,59062293,,51
2024,59062294,,51
2024,59607287,,53
2024,59062295,,51
2024,59062296,,51
2024,59062297,,51
2024,59062298,,51
2024,59607288,,51
2024,59062300,,51
2024,59062301,,51
2024,59062302,,51
2024,59607289,,51
2024,59062304,,51
2024,59062306,,5
2024,59062307,,51
2024,59062308,,51
2024,59062309,,51
2024,59062310,,51
2024,59062313,,51
2024,59607290,,51
2024,59062315,,5
2024,59062316,,51
2024,59607291,,5
2024,59062318,,51
2024,59607292,,51
2024,59607293,,51
2024,59607294,,51
2024,59607295,,51
2024,59607297,,51
2024,59607298,,9
2024,59607299,,9
2024,59607300,,51
2024,59607301,,51
2024,59607302,,51
2024,59607303,,51
2024,59607304,,51
2024,59607305,,51
2024,59607307,,51
2024,59607308,,51
2024,59607309,,51
2024,59607310,,51
2024,59607311,,51
2024,59607312,,51
2024,59607313,,51
2024,59607314,,51
2024,59607315,,51
2024,60118951,,51
2024,59607317,,51
2024,59607318,,51
2024,59607319,,51
2024,59607320,,51
2024,59607321,,5
2024,59607323,,51
2024,60118953,,51
2024,59607325,,51
2024,59607326,,51
2024,59607327,,51
2024,59607328,,51
2024,60118968,,51
2024,60118971,,51
2024,60118977,,9
2024,60118979,,51
2024,60118982,,51
2024,60118987,,51
2024,60118989,,51
2024,60118990,,51
2024,60118998,,51
2024,60119006,,51
2024,60119007,,51
2024,60119010,,51
2024,60119011,,9
2024,60119013,,51
2024,60119019,,51
2024,60119022,,51
2024,60119024,,51
2024,60119027,,51
2024,60119031,,51
2024,60119033,,51
2024,60119035,,51
2024,60119044,,51
2024,60119055,,51
2024,60119062,,51
2024,60119064,,51
2024,60119071,,53
2024,60119073,,51
2024,60119074,,51
2024,60119090,,51
2024,60642692,,51
2024,60119124,,51
2024,60119125,,5
2024,60119127,,52
2024,60642696,,51
2024,60642703,,51
2024,60642705,,51
2024,60642706,,51
2024,60642708,,51
2024,60642710,,51
2024,60642718,,51
2024,60642719,,51
2024,60642725,,51
2024,60642727,,51
2024,60642728,,51
2024,60642730,,51
2024,60642732,,51
2024,61234906,,51
2024,61234907,,51
2024,60642737,,51
2024,60642738,,51
2024,60642739,,51
2024,60642744,,51
2024,61234914,,51
2024,60642753,,51
2024,60642754,,51
2024,60642755,,51
2024,60642760,,51
2024,60642761,,51
2024,61234915,,51
2024,61234916,,51
2024,60642766,,51
2024,60642767,,51
2024,60642769,,51
2024,60642770,,51
2024,60642772,,51
2024,61234917,,51
2024,61234918,,51
2024,61234919,,51
2024,61234920,,51
2024,61234922,,51
2024,61234923,,51
2024,61234924,,51
2024,61234925,,51
2024,61234926,,51
2024,61234927,,51
2024,61234928,,51
2024,61234929,,51
2024,61234930,,51
2024,61234931,,51
2024,61234932,,51
2024,61234933,,51
2024,61234934,,51
2024,61234935,,51
2024,61234936,,51
2024,61234937,,51
2024,61734132,,51
2024,57897579,,51
2024,57442278,,51
2024,57442307,,51
2024,57442328,,51
2024,57897581,,51
2024,57897582,,51
2024,57442428,,51
2024,57442468,,5
2024,57897583,,51
2024,57897584,,51
2024,57442503,,51
2024,57442645,,51
2024,57442692,,51
2024,57442726,,5
2024,57442775,,51
2024,57442810,,51
2024,57442870,,51
