data_year,suspect_using_id,offense_id
2024,4,220153183
2024,4,220153184
2024,4,222268265
2024,3,220153187
2024,3,220153188
2024,3,220153189
2024,4,222268266
2024,4,222268268
2024,4,220153192
2024,3,220153194
2024,3,220153195
2024,4,220153196
2024,4,222268270
2024,4,222268271
2024,4,222268272
2024,4,222268273
2024,4,222268274
2024,4,222268275
2024,4,220153200
2024,4,220153202
2024,4,220153203
2024,4,220153204
2024,1,220153205
2024,4,220153206
2024,4,220153207
2024,4,220153208
2024,4,220153209
2024,4,220153210
2024,4,220153212
2024,4,220153213
2024,4,220153214
2024,4,220153215
2024,4,220153216
2024,4,220153217
2024,4,220153218
2024,4,220153219
2024,4,220153220
2024,4,220153221
2024,4,220153222
2024,4,222268276
2024,4,222268279
2024,4,222268280
2024,4,220153226
2024,4,220153227
2024,4,220153228
2024,4,227845146
2024,2,227845147
2024,4,220153232
2024,4,220153234
2024,3,220153235
2024,3,220153236
2024,1,220153238
2024,1,220153239
2024,4,220153240
2024,4,220153241
2024,4,220153242
2024,3,225884404
2024,4,225884405
2024,4,220153244
2024,1,220153245
2024,1,220153246
2024,4,220153247
2024,4,220153248
2024,4,220153250
2024,1,220153251
2024,3,220153251
2024,4,220153252
2024,4,220153253
2024,4,220153254
2024,4,220153256
2024,4,224256814
2024,4,224256815
2024,1,220153257
2024,4,220153258
2024,4,220153259
2024,4,220153261
2024,4,220153262
2024,4,220153263
2024,4,220153265
2024,4,222268281
2024,4,220153266
2024,4,220153267
2024,4,222268284
2024,4,220153268
2024,4,220153270
2024,4,220153271
2024,4,220153272
2024,4,220153273
2024,4,220153274
2024,4,222268285
2024,4,222268286
2024,4,220153275
2024,4,220153277
2024,4,220153278
2024,4,220153279
2024,4,220153281
2024,4,220153282
2024,4,222268288
2024,4,220153283
2024,4,220153284
2024,4,220153285
2024,4,229564682
2024,4,220153287
2024,4,220153288
2024,4,220153289
2024,4,222268289
2024,4,220153291
2024,4,220153292
2024,4,220153293
2024,4,220153294
2024,4,220153295
2024,4,220153296
2024,3,220153297
2024,4,220153298
2024,4,220153299
2024,4,220153300
2024,4,222268290
2024,4,222268291
2024,4,222268292
2024,4,220153302
2024,4,220153304
2024,4,220153305
2024,4,220153306
2024,4,220153307
2024,4,222268295
2024,4,222268296
2024,4,220153308
2024,4,220153309
2024,4,222268297
2024,4,222268298
2024,4,220153313
2024,4,220153315
2024,3,220153316
2024,4,222268300
2024,1,222268302
2024,4,222268303
2024,4,224256816
2024,4,222268305
2024,4,220153317
2024,3,220153318
2024,3,220153319
2024,3,220153320
2024,4,220153321
2024,4,220153322
2024,4,222268306
2024,4,222268310
2024,4,222268311
2024,3,222268313
2024,4,220153324
2024,4,220153325
2024,4,222268314
2024,4,220153326
2024,4,220153327
2024,4,220153328
2024,1,220153329
2024,4,220153330
2024,4,220153331
2024,4,222268317
2024,4,222268318
2024,4,220153332
2024,4,220153333
2024,4,220153334
2024,3,222268319
2024,4,222268321
2024,4,220153335
2024,4,220153336
2024,3,222268325
2024,4,222268326
2024,4,222268327
2024,3,220153337
2024,4,222268329
2024,4,220153340
2024,4,220153341
2024,4,222268330
2024,3,222268332
2024,1,222268333
2024,3,222268333
2024,1,222268334
2024,3,222268334
2024,4,222268337
2024,4,220153345
2024,4,220153346
2024,4,220153347
2024,4,222268338
2024,3,222268340
2024,3,222268341
2024,3,222268342
2024,4,222268343
2024,4,222268346
2024,3,222268347
2024,3,222268348
2024,4,220153348
2024,4,225922437
2024,4,225922438
2024,4,222268349
2024,4,229564683
2024,1,229564684
2024,4,220153351
2024,4,222268352
2024,4,220153353
2024,4,222268353
2024,4,222268354
2024,4,220153354
2024,4,222268355
2024,4,222268358
2024,4,222268359
2024,4,224256817
2024,4,224256818
2024,4,222268362
2024,4,222268363
2024,4,222268365
2024,4,222268366
2024,4,222268367
2024,4,222268368
2024,3,222268369
2024,1,222268373
2024,4,222268374
2024,4,222268376
2024,2,222268378
2024,4,222268381
2024,4,222268382
2024,4,222268384
2024,4,222268385
2024,4,233639246
2024,4,233639247
2024,4,235077877
2024,4,221004919
2024,3,221004920
2024,4,221004921
2024,4,221004922
2024,3,233864646
2024,4,243924361
2024,4,221004923
2024,4,222802337
2024,4,222802338
2024,1,222802339
2024,3,222802340
2024,4,222802341
2024,4,222802342
2024,3,228616464
2024,3,224542606
2024,4,224542607
2024,4,226530946
2024,3,228616466
2024,4,228616468
2024,3,228616469
2024,4,228616471
2024,4,228616472
2024,3,228616474
2024,3,229800658
2024,3,233864647
2024,1,233864648
2024,1,233864649
2024,4,233864650
2024,1,233864651
2024,1,233864652
2024,3,233864653
2024,3,233864654
2024,3,233864655
2024,4,233864656
2024,4,233864657
2024,1,233864658
2024,4,233864659
2024,1,233864660
2024,1,233864661
2024,3,233864662
2024,4,235637467
2024,4,235637469
2024,3,235637470
2024,3,237567876
2024,3,237567877
2024,3,237567878
2024,4,239621013
2024,3,239621014
2024,4,239621015
2024,4,239621016
2024,4,239621017
2024,3,239621018
2024,3,239621019
2024,4,243924362
2024,1,220930155
2024,1,220930156
2024,4,220930157
2024,4,220930158
2024,4,220930159
2024,4,220930160
2024,4,220930161
2024,4,220930162
2024,4,220930163
2024,2,220930164
2024,4,220930165
2024,3,220930166
2024,4,220930167
2024,4,220930168
2024,1,220930169
2024,4,220930170
2024,4,220930171
2024,4,220930172
2024,4,220930173
2024,4,220930174
2024,4,220930175
2024,4,220930176
2024,4,220930177
2024,2,220930178
2024,4,220930179
2024,4,220930180
2024,4,220930181
2024,4,220930182
2024,4,220930185
2024,4,220930186
2024,4,220930187
2024,4,220930188
2024,4,220930190
2024,4,220930191
2024,4,220930192
2024,4,220930193
2024,4,220930194
2024,4,220930195
2024,4,220930196
2024,4,220930197
2024,4,220930198
2024,4,220930199
2024,4,220930200
2024,4,220930201
2024,4,220930202
2024,4,220930203
2024,4,220930204
2024,4,220930205
2024,4,220930206
2024,4,220930207
2024,4,220930208
2024,4,220930209
2024,4,220930210
2024,4,220930211
2024,1,220930214
2024,1,220930215
2024,4,220930216
2024,4,220930217
2024,4,220930218
2024,1,220930219
2024,2,220930219
2024,3,220930219
2024,4,220930220
2024,4,220930221
2024,4,220930222
2024,4,220930223
2024,4,220930224
2024,4,220930225
2024,4,220930226
2024,4,220930227
2024,4,220930228
2024,4,220930229
2024,4,220930230
2024,4,220930231
2024,4,220930232
2024,4,220930233
2024,4,220930234
2024,4,220930235
2024,4,220930236
2024,4,220930237
2024,4,220930238
2024,4,220930239
2024,4,220930240
2024,4,220930241
2024,4,220930242
2024,4,220930243
2024,4,220930244
2024,4,220930245
2024,4,220930246
2024,4,220930247
2024,4,220930248
2024,4,220930249
2024,4,220930251
2024,4,220930252
2024,4,220930253
2024,4,220930254
2024,4,220930255
2024,4,220930256
2024,4,220930257
2024,4,220930258
2024,4,220930259
2024,4,220930260
2024,4,220930261
2024,4,220930262
2024,4,220930263
2024,4,220930264
2024,4,220930265
2024,4,220930266
2024,4,220930268
2024,4,220930269
2024,4,222895477
2024,3,220930271
2024,4,220930272
2024,4,220930273
2024,3,220930274
2024,3,220930275
2024,3,220930276
2024,2,220930277
2024,4,220930278
2024,4,220930279
2024,4,220930280
2024,4,220930281
2024,4,220930282
2024,4,220930283
2024,4,220930284
2024,4,220930285
2024,4,220930286
2024,4,220930287
2024,4,220930288
2024,2,220930289
2024,4,220930290
2024,4,220930291
2024,4,220930292
2024,4,220930293
2024,4,220930294
2024,2,220930295
2024,4,220930296
2024,4,220930297
2024,4,220930298
2024,4,220930299
2024,3,220930300
2024,4,220930301
2024,4,220930302
2024,4,220930303
2024,4,220930305
2024,4,220930306
2024,4,220930307
2024,4,220930308
2024,4,220930309
2024,4,220930310
2024,4,220930311
2024,4,220930312
2024,4,220930314
2024,4,220930315
2024,4,220930316
2024,4,220930317
2024,1,220930319
2024,4,220930320
2024,4,220930321
2024,4,220930322
2024,4,220930323
2024,4,220930324
2024,4,220930325
2024,4,220930326
2024,4,220930327
2024,4,220930328
2024,4,220930329
2024,4,220930330
2024,4,220930331
2024,4,222895478
2024,4,220930333
2024,4,220930334
2024,4,220930335
2024,4,220930336
2024,4,220930337
2024,4,220930338
2024,4,220930339
2024,4,220930340
2024,4,220930341
2024,4,220930342
2024,4,220930343
2024,4,220930344
2024,1,220930345
2024,4,220930346
2024,4,220930347
2024,4,220930348
2024,4,220930349
2024,4,220930350
2024,4,220930351
2024,4,220930352
2024,4,220930353
2024,4,220930354
2024,4,220930355
2024,4,220930356
2024,4,220930357
2024,4,220930358
2024,4,220930359
2024,4,220930360
2024,1,220930361
2024,4,220930362
2024,4,220930363
2024,4,220930364
2024,4,220930365
2024,4,220930366
2024,4,220930370
2024,4,220930371
2024,4,222895479
2024,4,222895480
2024,4,220930001
2024,4,220930002
2024,4,220930003
2024,4,220930004
2024,4,220930005
2024,4,220930007
2024,4,220930008
2024,4,220930009
2024,4,220930010
2024,4,220930011
2024,4,220930012
2024,4,220930013
2024,4,220930014
2024,1,220930015
2024,4,220930027
2024,4,220930029
2024,4,220930031
2024,4,220930032
2024,4,220930034
2024,4,220930036
2024,4,220930037
2024,4,220930038
2024,4,222895483
2024,4,220930041
2024,4,220930042
2024,4,220930044
2024,4,220930045
2024,4,220930046
2024,1,220930050
2024,4,220930051
2024,4,220930054
2024,3,222895484
2024,3,222895485
2024,4,222895486
2024,4,220930061
2024,4,222895488
2024,4,220930064
2024,4,220930065
2024,4,220930067
2024,4,220930068
2024,1,220930070
2024,3,220930070
2024,4,222895489
2024,4,222895490
2024,4,222895491
2024,4,222895492
2024,4,220930077
2024,4,220930078
2024,4,220930079
2024,4,220930082
2024,4,220930083
2024,4,220930084
2024,4,220930085
2024,4,220930086
2024,4,220930087
2024,4,222895494
2024,4,220930089
2024,4,222895495
2024,4,220930091
2024,1,220930092
2024,4,220930093
2024,4,220930094
2024,4,222895496
2024,1,222895498
2024,4,220930097
2024,4,220930098
2024,4,222895499
2024,4,222895500
2024,4,233736909
2024,4,222895503
2024,4,222895504
2024,4,222895505
2024,4,222895507
2024,1,222895508
2024,1,222895509
2024,4,222895511
2024,4,222895512
2024,4,222895513
2024,4,222895514
2024,4,222895516
2024,4,222895517
2024,4,228372338
2024,4,222895519
2024,4,222895520
2024,4,222895522
2024,4,222895523
2024,4,222895524
2024,1,222895525
2024,3,222895525
2024,4,222895526
2024,4,222895527
2024,4,222895528
2024,3,222895530
2024,4,222895531
2024,3,222895532
2024,4,222895534
2024,4,222895535
2024,4,222895536
2024,1,222895538
2024,4,222895539
2024,4,222895540
2024,4,222895541
2024,4,222895543
2024,4,222895544
2024,4,222895545
2024,4,222895546
2024,4,222895548
2024,4,222895549
2024,4,222895551
2024,4,222895552
2024,4,224538200
2024,4,222895555
2024,4,222895556
2024,4,222895557
2024,4,222895559
2024,4,222895560
2024,4,222895561
2024,4,222895562
2024,4,222895563
2024,4,222895564
2024,4,222895565
2024,4,222895566
2024,4,222895567
2024,4,222895568
2024,4,222895569
2024,3,222895572
2024,3,222895573
2024,3,222895574
2024,4,222895575
2024,4,222895576
2024,4,222895577
2024,3,222895578
2024,4,222895579
2024,4,222895580
2024,1,222895581
2024,1,222895582
2024,4,222895586
2024,4,222895587
2024,4,222895588
2024,4,222895589
2024,4,222895591
2024,4,222895592
2024,4,222895593
2024,4,222895594
2024,4,222895596
2024,4,222268388
2024,4,222268391
2024,4,222268392
2024,4,222268394
2024,4,222268395
2024,4,222268397
2024,4,222268398
2024,4,222268399
2024,4,222268401
2024,4,222268402
2024,4,222268405
2024,1,224256819
2024,1,224256820
2024,4,224256821
2024,4,222268406
2024,4,222268407
2024,4,222268410
2024,4,222268411
2024,4,222268416
2024,4,236989954
2024,4,222268425
2024,1,222268426
2024,1,222268427
2024,1,222268428
2024,4,222268433
2024,1,222268439
2024,4,222268440
2024,1,222268443
2024,4,222268445
2024,4,222268447
2024,4,222268450
2024,4,222268451
2024,4,222268452
2024,4,222268453
2024,1,222268455
2024,4,222268456
2024,4,222268458
2024,4,222268460
2024,3,222268463
2024,3,222268464
2024,2,222268467
2024,4,222268470
2024,4,224256823
2024,4,224256824
2024,4,222268472
2024,4,222268474
2024,4,222268475
2024,4,222268477
2024,4,222268478
2024,4,222268479
2024,4,222268481
2024,4,225884444
2024,4,222268482
2024,4,222268483
2024,4,222268484
2024,4,222268485
2024,4,222268487
2024,4,222268489
2024,4,246859456
2024,4,222268490
2024,4,222268492
2024,4,222268493
2024,4,222268495
2024,1,222268497
2024,4,222268498
2024,4,222268499
2024,4,222268500
2024,4,224256825
2024,4,222268502
2024,4,222268503
2024,4,222268505
2024,3,222268507
2024,3,222268508
2024,4,222268509
2024,1,222268511
2024,4,222268512
2024,4,222268514
2024,4,222268515
2024,4,222268516
2024,4,222268518
2024,4,222268519
2024,4,222268520
2024,4,222268522
