data_year,victim_id,offense_id
2024,217394259,231872551
2024,217394259,231872552
2024,208442291,222895614
2024,208442291,222895615
2024,208442292,222895616
2024,208442293,222895617
2024,208442293,222895618
2024,208442294,222895619
2024,208442295,222895620
2024,208442295,222895621
2024,208442296,222895622
2024,208442296,222895623
2024,208442297,222895624
2024,208442298,222895625
2024,208442300,222895628
2024,208442301,222895629
2024,208442302,222895630
2024,208442303,222895631
2024,208442304,222895632
2024,208442305,222895633
2024,208442305,222895634
2024,208442306,222895635
2024,208442306,222895636
2024,208442308,222895638
2024,208442309,222895639
2024,208442310,222895640
2024,208442311,222895641
2024,208442312,222895642
2024,208442313,222895643
2024,208442314,222895644
2024,208442315,222895645
2024,208442316,222895646
2024,208442318,222895648
2024,208442319,222895649
2024,208442320,222895650
2024,208442321,222895651
2024,208442322,222895651
2024,208442324,222895654
2024,208442325,222895655
2024,208442326,222895656
2024,208442327,222895657
2024,208442327,222895658
2024,208442329,222895660
2024,208442329,222895661
2024,208442330,222895660
2024,208442331,222895662
2024,208442332,222895663
2024,208442333,222895664
2024,208442335,222895666
2024,208442336,222895666
2024,208442337,222895667
2024,208442338,222895668
2024,208442340,222895672
2024,208442341,222895671
2024,208442341,222895672
2024,208442342,222895671
2024,208442342,222895672
2024,208442343,222895672
2024,208442344,222895673
2024,208442345,222895674
2024,208442346,222895675
2024,208442348,222895677
2024,208442349,222895678
2024,208442350,222895679
2024,217394261,231872554
2024,208442352,222895681
2024,208442353,222895682
2024,208442354,222895683
2024,208442355,222895683
2024,210063793,224538201
2024,210063794,224538202
2024,208442359,222895687
2024,208442361,222895689
2024,208442362,222895690
2024,208442363,222895691
2024,208442364,222895692
2024,208442365,222895693
2024,208442366,222895694
2024,208442368,222895696
2024,208442369,222895697
2024,208442370,222895698
2024,208442373,222895701
2024,208442374,222895702
2024,210063796,224538204
2024,210063797,224538205
2024,210063798,224538206
2024,210063799,224538206
2024,208442380,222895707
2024,208442381,222895708
2024,208442382,222895709
2024,208442384,222895711
2024,208442385,222895712
2024,208442386,222895713
2024,208442387,222895714
2024,208442389,222895716
2024,208442390,222895717
2024,208442391,222895718
2024,208442392,222895719
2024,208442395,222895721
2024,208442395,222895722
2024,210063800,224538207
2024,208442397,222895724
2024,210063801,224538208
2024,210063801,224538209
2024,208442400,222895728
2024,208442401,222895729
2024,208442402,222895730
2024,208442402,222895731
2024,208442403,222895732
2024,208442406,222895735
2024,208442407,222895736
2024,208442408,222895737
2024,208442409,222895737
2024,208442411,222895739
2024,208442412,222895740
2024,208442413,222895741
2024,208442414,222895742
2024,210063802,224538210
2024,210063803,224538210
2024,208442417,222895744
2024,208442418,222895744
2024,208442419,222895745
2024,208442420,222895746
2024,208442421,222895747
2024,208442422,222895748
2024,208442423,222895749
2024,208442424,222895750
2024,208442426,222895752
2024,210063804,224538211
2024,208442428,222895754
2024,208442429,222895755
2024,208442430,222895756
2024,208442432,222895758
2024,208442433,222895759
2024,208442434,222895759
2024,210063805,224538212
2024,210063805,224538213
2024,208442436,222895762
2024,210063806,224538214
2024,208442438,222895764
2024,208442440,222895766
2024,208442441,222895767
2024,208442442,222895768
2024,210063807,224538215
2024,210063808,224538215
2024,210063809,224538216
2024,208442449,222895775
2024,208442451,222895778
2024,208442451,222895779
2024,210063810,224538217
2024,210063811,224538218
2024,208442457,222895784
2024,210063812,224538219
2024,210063813,224538220
2024,210063814,224538221
2024,208442464,222895791
2024,210063815,224538222
2024,210063816,224538223
2024,208442470,222895797
2024,210063817,224538224
2024,210063818,224538225
2024,208442475,222895801
2024,208442477,222895803
2024,208442479,222895805
2024,208442481,222895807
2024,210063819,224538226
2024,208442483,222895809
2024,210063820,224538227
2024,208442488,222895814
2024,208442490,222895817
2024,208442491,222895818
2024,208442493,222895820
2024,208442494,222895820
2024,208442495,222895821
2024,208442498,222895824
2024,208442499,222895825
2024,208442499,222895826
2024,208442501,222895829
2024,210063822,224538229
2024,208442505,222895833
2024,208442507,222895836
2024,208442508,222895837
2024,208442509,222895838
2024,208442510,222895839
2024,208442510,222895840
2024,208442513,222895843
2024,208442514,222895845
2024,208442515,222895844
2024,208442516,222895846
2024,208442520,222895850
2024,210063823,224538230
2024,208442522,222895852
2024,208442537,222895868
2024,208442541,222895871
2024,208442543,222895873
2024,208442546,222895875
2024,210063824,224538231
2024,208442551,222895879
2024,208442552,222895880
2024,208442555,222895883
2024,208442556,222895884
2024,208442558,222895886
2024,208442560,222895888
2024,208442562,222895890
2024,208442564,222895892
2024,208442565,222895893
2024,208442568,222895896
2024,208442570,222895898
2024,210063825,224538232
2024,208442573,222895901
2024,208442573,222895902
2024,210063826,224538233
2024,208442578,222895906
2024,210063827,224538234
2024,210063828,224538235
2024,208442583,222895911
2024,208442586,222895913
2024,208442587,222895914
2024,208442588,222895915
2024,210063829,224538236
2024,208442591,222895918
2024,208442592,222895919
2024,210063830,224538237
2024,208442595,222895922
2024,208442597,222895924
2024,208442599,222895926
2024,208442600,222895927
2024,208442602,222895929
2024,208442604,222895931
2024,205718472,220153226
2024,205718473,220153226
2024,205718474,220153227
2024,205718474,220153228
2024,213370397,227845146
2024,213370397,227845147
2024,205718477,220153232
2024,205718479,220153234
2024,205718480,220153235
2024,205718480,220153236
2024,205718482,220153238
2024,205718482,220153239
2024,205718483,220153240
2024,205718484,220153242
2024,205718485,220153241
2024,211422076,225884404
2024,211422076,225884405
2024,205718487,220153244
2024,205718488,220153245
2024,205718489,220153246
2024,205718490,220153247
2024,205718490,220153248
2024,205718492,220153250
2024,205718493,220153251
2024,205718494,220153252
2024,205718495,220153253
2024,205718496,220153254
2024,205718498,220153256
2024,209784092,224256814
2024,209784093,224256815
2024,205718499,220153257
2024,205718500,220153258
2024,205718501,220153259
2024,205718504,220153261
2024,205718505,220153262
2024,205718506,220153263
2024,205718508,220153265
2024,207822715,222268281
2024,205718509,220153266
2024,205718510,220153266
2024,205718511,220153266
2024,205718512,220153267
2024,207822718,222268284
2024,205718513,220153268
2024,205718515,220153270
2024,205718516,220153271
2024,205718516,220153272
2024,205718517,220153273
2024,205718518,220153274
2024,207822719,222268285
2024,207822719,222268286
2024,205718519,220153275
2024,205718521,220153277
2024,205718522,220153278
2024,205718523,220153279
2024,205718525,220153281
2024,205718526,220153282
2024,207822721,222268288
2024,205718527,220153283
2024,205718527,220153284
2024,205718528,220153285
2024,215085148,229564682
2024,205718530,220153287
2024,205718531,220153288
2024,205718531,220153289
2024,207822722,222268289
2024,205718533,220153291
2024,205718534,220153292
2024,205718535,220153294
2024,205718536,220153293
2024,205718537,220153295
2024,205718538,220153296
2024,205718539,220153297
2024,205718540,220153298
2024,205718541,220153299
2024,205718542,220153300
2024,207822723,222268291
2024,207822723,222268292
2024,207822724,222268290
2024,205718545,220153302
2024,205718547,220153304
2024,205718547,220153305
2024,205718548,220153306
2024,205718549,220153307
2024,207822726,222268295
2024,207822726,222268296
