data_year,victim_id,injury_id
2024,224285286,4
2024,224285287,3
2024,224285287,4
2024,224285288,4
2024,224285289,3
2024,224285289,4
2024,224285291,3
2024,224285291,4
2024,224285292,4
2024,224285293,3
2024,224285293,4
2024,213370429,5
2024,209798891,4
2024,220426997,6
2024,219161122,5
2024,219161123,5
2024,211422402,3
2024,209798897,5
2024,211422430,5
2024,209798904,4
2024,216984615,5
2024,209798907,5
2024,213370431,5
2024,209798909,5
2024,209798910,5
2024,211422431,5
2024,209798919,5
2024,213370432,5
2024,209798929,5
2024,209798930,4
2024,209798932,5
2024,209798933,5
2024,209798937,5
2024,219161127,5
2024,219161128,5
2024,211422445,5
2024,209798945,5
2024,209798946,5
2024,209798955,5
2024,209798958,5
2024,211422469,5
2024,211422470,5
2024,209798960,5
2024,209798961,4
2024,209798965,5
2024,209798971,4
2024,209798972,5
2024,209798973,5
2024,209798976,5
2024,209798979,5
2024,209798980,5
2024,209798981,5
2024,209798982,4
2024,209798983,4
2024,209798987,4
2024,209798988,5
2024,209798991,5
2024,209798992,5
2024,209798993,4
2024,211422512,5
2024,211422513,5
2024,211422519,5
2024,219261083,4
2024,219261084,4
2024,219261095,4
2024,219261096,5
2024,219261102,4
2024,219261103,4
2024,219261107,4
2024,219261108,5
2024,219261111,4
2024,219261118,5
2024,219261120,4
2024,219261121,4
2024,219261122,4
2024,219261123,4
2024,219261124,4
2024,219261127,4
2024,219261129,4
2024,219261131,4
2024,219261138,4
2024,219261140,4
2024,219261142,4
2024,219261145,5
2024,219261154,5
2024,219261158,4
2024,219261160,5
2024,219261166,5
2024,219261176,5
2024,219261180,4
2024,219261198,4
2024,219261203,4
2024,219261216,5
2024,221076916,5
2024,219261228,4
2024,219261246,5
2024,219261248,4
2024,219261250,4
2024,219261255,4
2024,219261257,5
2024,219261259,4
2024,219261261,4
2024,219261264,1
2024,219261265,3
2024,219261267,5
2024,219261270,5
2024,219261275,5
2024,219261281,5
2024,219261284,5
2024,219261287,5
2024,219261290,4
2024,219261301,5
2024,219261302,5
2024,219261310,5
2024,219261330,4
2024,219261335,5
2024,219261349,1
2024,219261351,5
2024,219261352,5
2024,219261353,5
2024,219261354,5
2024,219261355,5
2024,219261358,4
2024,219261361,4
2024,221076922,5
2024,219261373,5
2024,219261374,5
2024,219261378,5
2024,219261381,5
2024,219261384,4
2024,219261399,2
2024,221076932,5
2024,219261410,3
2024,219261410,4
2024,219261411,5
2024,219261414,4
2024,219261426,4
2024,219261432,4
2024,219261439,5
2024,219261447,5
2024,219261448,5
2024,219261449,5
2024,219261473,4
2024,221076939,3
2024,219261481,5
2024,219261486,5
2024,219261502,5
2024,219261506,4
2024,219261507,4
2024,219261523,5
2024,221076949,5
2024,219261539,4
2024,219261565,4
2024,219261569,4
2024,219261572,5
2024,219261602,4
2024,221076972,4
2024,221076973,4
2024,221076974,4
2024,221076975,4
2024,221076977,4
2024,221076985,4
2024,221076990,6
2024,221077007,5
2024,221077010,3
2024,221077012,5
2024,221077020,4
2024,221077030,5
2024,221077045,4
2024,221077048,4
2024,221077059,5
2024,221077089,5
2024,221077092,4
2024,221077106,4
2024,221077111,4
2024,221077117,4
2024,221077121,4
2024,221077122,4
2024,221077129,4
2024,221077129,6
2024,221077135,2
2024,221077137,4
2024,221077140,4
2024,221077154,5
2024,221077155,5
2024,221077156,4
2024,221077158,4
2024,221077162,5
2024,221077165,5
2024,221077184,4
2024,221077185,4
2024,221077190,4
2024,221077191,5
2024,221077194,4
2024,221077195,4
2024,221077196,5
2024,221077197,5
2024,221077205,4
2024,221077206,4
2024,221077216,5
2024,221077225,4
2024,221077230,4
2024,221077232,4
2024,221077233,5
2024,221077250,5
2024,223228034,5
2024,221077267,4
2024,223228044,5
2024,223228046,5
2024,221077288,5
2024,221077289,5
2024,221077294,5
2024,221077298,5
2024,221077310,5
2024,221077316,5
2024,223228056,5
2024,223228060,5
2024,223228061,5
2024,221077326,5
2024,221077344,4
2024,221077357,5
2024,221077358,1
2024,221077358,2
2024,221077358,3
2024,221077358,6
2024,221077358,8
2024,221077371,4
2024,221077377,4
2024,221077378,5
2024,221077380,4
2024,221077384,4
2024,221077385,5
2024,221077386,4
2024,221077388,4
2024,221077391,5
2024,221077395,4
2024,221077397,4
2024,223228075,4
2024,221077404,5
2024,221077405,5
2024,221077411,4
2024,221077412,5
2024,223228076,4
2024,221077428,5
2024,221077430,6
2024,221077434,4
2024,221077436,5
2024,221077445,4
2024,221077446,4
2024,221077449,5
2024,221077452,5
2024,221077456,5
2024,221077458,5
2024,223228082,4
2024,221077469,4
2024,221077477,5
2024,221077489,4
2024,223228083,5
2024,223228086,4
2024,223228094,4
2024,223228095,4
2024,223228096,4
2024,223228103,4
