yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
128112024,12811,2024,NM0200200,NM0200200,,N,N,,I,LOGAN,LOGAN PD,Logan,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,956,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2018-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,QUAY,Not Specified,Y,Y,Y
128152024,12815,2024,NM0210300,NM0210300,,Y,N,,I,JICARILLA APACHE TRIBAL,JICARILLA APACHE POLICE DEPARTMENT,Jicarilla Apache Tribal,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,33325,NM0210300,Jicarilla Apache Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,3,13,3,7,10,0,0,2021-01-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128162024,12816,2024,NM0210400,NM0210400,,Y,N,,I,OHKAY OWINGEH TRIBAL,SAN JUAN TRIBAL PD SAN JUAN,Ohkay Owingeh Tribal,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,33784,NM0210400,Ohkay Owingeh Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,2,12,0,3,3,0,0,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2022-04-01,2022-04-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128172024,12817,2024,NM0210500,NM0210500,,Y,N,,I,SANTA CLARA PUEBLO,SANTA CLARA PUEBLO PD ESPANOLA,Santa Clara Pueblo,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,32821,NM0210500,Santa Clara Pueblo,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,5,12,0,4,4,0,0,2021-01-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128192024,12819,2024,NM0220100,NM0220100,,N,N,,I,PORTALES,PORTALES PD,Portales,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,11772,25186,NMUCR0001,New Mexico Department of Public Safety,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,18,1,19,1,4,5,1.6,2.0,2018-01-01,2022-01-01,2023-03-01,2023-03-01,2023-03-01,2023-03-01,N,ROOSEVELT,Not Specified,Y,Y,Y
128202024,12820,2024,NM0220200,NM0220200,,N,N,,I,EASTERN NEW MEXICO UNIV,EASTERN NM UNIV PD PORTALES,Eastern New Mexico University,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,University or College,0,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2018-01-01,2020-01-01,2020-01-01,2020-02-01,2022-10-01,2020-02-01,N,ROOSEVELT,Not Specified,Y,Y,Y
128212024,12821,2024,NM0230000,NM0230000,,N,N,,I,SANDOVAL,SANDOVAL CO SO BERNALILLO,Sandoval,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,28071,25186,NMUCR0001,New Mexico Department of Public Safety,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,57,5,62,0,6,6,2.0,2.4,2018-01-01,2023-06-01,2023-07-01,2023-07-01,2023-07-01,2023-07-01,N,SANDOVAL,"Albuquerque, NM",Y,Y,Y
128222024,12822,2024,NM0230100,NM0230100,,N,N,,I,BERNALILLO,BERNALILLO PD,Bernalillo,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,9144,25186,NMUCR0001,New Mexico Department of Public Safety,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2018-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,SANDOVAL,"Albuquerque, NM",Y,Y,Y
128242024,12824,2024,NM0230300,NM0230300,,N,N,,I,CORRALES,CORRALES PD,Corrales,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,8653,25186,NMUCR0001,New Mexico Department of Public Safety,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,4,3,7,1.8,2.2,2018-01-01,2021-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,SANDOVAL,"Albuquerque, NM",Y,Y,Y
128272024,12827,2024,NM0230600,NM0230600,,N,N,,I,RIO RANCHO,RIO RANCHO PD,Rio Rancho,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,112817,25186,NMUCR0001,New Mexico Department of Public Safety,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,120,22,142,18,44,62,1.2,1.8,2018-01-01,2020-12-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,"BERNALILLO, SANDOVAL","Albuquerque, NM",Y,Y,Y
128282024,12828,2024,NM0230800,NM0230800,,Y,N,,I,SANTA ANA TRIBAL,SANTA ANA TRIBAL PD BERNALILLO,Santa Ana Tribal,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,32435,NM0230800,Santa Ana Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,24,0,24,4,2,6,0,0,2021-01-01,2021-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128292024,12829,2024,NM0240000,NM0240000,,N,N,,I,SAN JUAN,SAN JUAN CO SO AZTEC,San Juan,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,61822,25186,NMUCR0001,New Mexico Department of Public Safety,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,78,10,88,8,21,29,1.4,1.9,2018-01-01,2020-01-01,2020-01-01,2020-06-01,2020-06-01,2020-06-01,N,SAN JUAN,"Farmington, NM",Y,Y,Y
128302024,12830,2024,NM0240100,NM0240100,,N,N,,I,AZTEC,AZTEC PD,Aztec,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,6109,25186,NMUCR0001,New Mexico Department of Public Safety,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2018-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,SAN JUAN,"Farmington, NM",Y,Y,Y
128312024,12831,2024,NM0240200,NM0240200,,N,N,,I,FARMINGTON,FARMINGTON PD,Farmington,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,46150,25186,NMUCR0001,New Mexico Department of Public Safety,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,90,17,107,19,29,48,2.4,3.4,2018-01-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,2019-09-01,N,SAN JUAN,"Farmington, NM",Y,Y,Y
128322024,12832,2024,NM0240300,NM0240300,,N,N,,I,BLOOMFIELD,BLOOMFIELD PD,Bloomfield,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,7330,25186,NMUCR0001,New Mexico Department of Public Safety,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,2,20,1,3,4,2.6,3.3,2018-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,SAN JUAN,"Farmington, NM",Y,Y,Y
