data_year,weapon_id,offense_id,nibrs_weapon_id
2024,41,224267271,
2024,5,238747219,
2024,41,224267519,
2024,38,224267658,
2024,41,224267845,
2024,42,224267990,
2024,42,224268140,
2024,41,224268595,
2024,42,224268922,
2024,5,224269330,
2024,41,227845171,
2024,41,240645596,
2024,5,225884739,
2024,5,225884741,
2024,41,224269716,
2024,38,224269716,
2024,32,224270313,
2024,41,224270958,
2024,38,224271072,
2024,41,227845172,
2024,41,225884763,
2024,41,224271682,
2024,41,231460786,
2024,41,231460787,
2024,41,231460790,
2024,41,231460792,
2024,42,224271724,
2024,42,224271738,
2024,5,233638669,
2024,41,227845173,
2024,1,238747220,
2024,41,238747220,
2024,1,238747221,
2024,41,238747223,
2024,1,238747224,
2024,1,224271782,
2024,42,227845174,
2024,42,227845176,
2024,41,224271787,
2024,41,234903868,
2024,42,233638671,
2024,42,233638672,
2024,5,224271790,
2024,5,225884772,
2024,5,225884773,
2024,41,224271794,
2024,37,224271794,
2024,5,225884799,
2024,42,225884805,
2024,41,224271802,
2024,41,231460794,
2024,38,224271805,
2024,41,227845178,
2024,32,224271807,
2024,41,225884806,
2024,41,224271817,
2024,39,227845179,
2024,32,224271827,
2024,41,224271829,
2024,42,224271832,
2024,41,224271833,
2024,41,224271839,
2024,5,233638675,
2024,42,225884820,
2024,42,224271847,
2024,38,224271848,
2024,38,224271858,
2024,41,224271861,
2024,41,225884845,
2024,41,225884846,
2024,41,225884847,
2024,1,224271863,
2024,41,224271864,
2024,41,224271868,
2024,41,224271874,
2024,41,224271875,
2024,21,224271879,
2024,5,224271882,
2024,41,224271883,
2024,21,224271884,
2024,41,224271885,
2024,42,224271889,
2024,41,224271892,
2024,41,224271893,
2024,21,225884893,
2024,41,225884894,
2024,41,225884901,
2024,42,224271896,
2024,5,224271899,
2024,41,225884920,
2024,38,225884920,
2024,41,225884924,
2024,42,225884930,
2024,31,228372806,
2024,41,228372816,
2024,31,228372818,
2024,38,228372826,
2024,32,228372827,
2024,1,228372837,
2024,41,228372841,
2024,41,228372849,
2024,41,228372852,
2024,5,228372856,
2024,41,228372862,
2024,42,228372866,
2024,41,228372872,
2024,31,228372903,
2024,1,228372905,
2024,41,228372909,
2024,42,228372913,
2024,41,229929502,
2024,41,229929503,
2024,1,228372919,
2024,41,228372919,
2024,41,228372923,
2024,38,228372927,
2024,42,228372934,
2024,5,228372941,
2024,41,228372944,
2024,31,228372947,
2024,21,228372949,
2024,41,228372951,
2024,41,228372958,
2024,41,228372963,
2024,41,228372969,
2024,41,228372970,
2024,41,229929509,
2024,41,229929510,
2024,41,229929512,
2024,42,233736910,
2024,21,229929518,
2024,41,229929520,
2024,41,229929524,
2024,13,229929525,
2024,38,229929533,
2024,38,229929537,
2024,41,229929538,
2024,42,229929542,
2024,41,229929543,
2024,41,229929544,
2024,41,229929545,
2024,41,229929546,
2024,38,229929552,
2024,41,229929558,
2024,41,229929564,
2024,42,229929567,
2024,5,233736912,
2024,41,229929574,
2024,21,229929577,
2024,41,229929577,
2024,41,229929579,
2024,41,229929583,
2024,41,229929584,
2024,41,229929585,
2024,41,229929589,
2024,41,229929591,
2024,41,229929594,
2024,41,229929601,
2024,13,229929602,
2024,39,229929604,
2024,5,229929610,
2024,41,229929612,
2024,41,229929613,
2024,41,229929616,
2024,31,229929621,
2024,41,229929622,
2024,41,229929624,
2024,38,229929626,
2024,41,229929637,
2024,41,229929638,
2024,42,229929639,
2024,41,229929640,
2024,41,229929643,
2024,41,229929647,
2024,41,229929654,
2024,38,229929654,
2024,39,229929655,
2024,1,229929656,
2024,41,229929657,
2024,1,229929659,
2024,38,229929660,
2024,41,229929661,
2024,42,231872565,
2024,41,229929668,
2024,38,229929669,
2024,41,231872566,
2024,41,231872567,
2024,41,229929675,
2024,32,229929681,
