data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,214143694,219018559,1,
2024,214143697,219018562,1,
2024,214143698,219018563,1,
2024,214143700,219018565,21,
2024,215321984,220189395,1,
2024,219390809,224241387,1,
2024,219390811,224241389,18,
2024,219390812,224241390,1,
2024,219390816,224241394,14,
2024,219390819,224241397,4,
2024,219390820,224241398,1,
2024,219390821,224241398,1,
2024,219390823,224241399,3,
2024,219390824,224241400,1,
2024,221160494,226006629,15,
2024,223103690,227943589,3,
2024,223103691,227943589,5,
2024,225162241,229999621,17,
2024,225162243,229999623,1,
2024,225162244,229999624,1,
2024,225162244,229999625,1,
2024,225162245,229999626,1,
2024,225162246,229999627,1,
2024,225162247,229999628,1,
2024,206485827,211418433,15,
2024,206485827,211418434,15,
2024,206485827,211418435,15,
2024,206485828,211418433,24,
2024,206485828,211418434,24,
2024,206485828,211418435,24,
2024,206485832,211418439,1,
2024,206485841,211418446,1,
2024,206485842,211418447,21,
2024,206485843,211418448,3,
2024,206485844,211418449,17,
2024,206485846,211418451,9,
2024,206485848,211418453,14,
2024,206485850,211418455,9,
2024,206485851,211418456,17,
2024,206485854,211418459,16,
2024,206485860,211418464,13,
2024,206485861,211418465,9,
2024,206485862,211418465,9,
2024,206485863,211418465,9,
2024,206485865,211418467,1,
2024,206485866,211418468,26,
2024,206485867,211418469,1,
2024,206485868,211418470,8,
2024,206485868,211418471,8,
2024,206485869,211418472,9,
2024,206485871,211418474,26,
2024,206485872,211418475,26,
2024,206485873,211418476,3,
2024,206485875,211418478,16,
2024,206485876,211418479,26,
2024,206485877,211418479,4,
2024,206485878,211418480,24,
2024,206485882,211418483,1,
2024,206485884,211418485,1,
2024,206485886,211418487,16,
2024,206485888,211418488,26,
2024,206485889,211418489,3,
2024,206485896,211418495,20,
2024,206485897,211418496,18,
2024,206485898,211418496,16,
2024,206485899,211418497,9,
2024,206485903,211418501,3,
2024,206485905,211418503,9,
2024,206485906,211418504,15,
2024,206485909,211418508,24,
2024,206485911,211418510,19,
2024,206485913,211418512,24,
2024,206485915,211418514,14,
2024,206485921,211418518,17,
2024,206485924,211418521,18,
2024,206485926,211418523,1,
2024,206485927,211418524,17,
2024,206485928,211418525,26,
2024,206485929,211418526,13,
2024,206485930,211418527,1,
2024,206485931,211418528,24,
2024,206485933,211418530,24,
2024,206485935,211418531,26,
2024,206485936,211418532,16,
2024,206485939,211418534,16,
2024,206485942,211418538,24,
2024,206485942,211418539,24,
2024,206485943,211418538,24,
2024,206485943,211418539,24,
2024,206485946,211418543,26,
2024,206485948,211418545,21,
2024,206485950,211418547,17,
2024,206485951,211418547,13,
2024,206485952,211418547,19,
2024,206485953,211418548,26,
2024,206485954,211418549,19,
2024,206485962,211418556,24,
2024,206485966,211418560,3,
2024,206485972,211418566,26,
2024,206485979,211418573,16,
2024,206485981,211418575,16,
2024,206485983,211418577,24,
2024,206485984,211418578,18,
2024,206485985,211418579,5,
