data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2024,181156590,42,500,,
2024,181156594,3,1,,
2024,181156595,10,,,
2024,181156595,11,1,,
2024,181156596,3,2000,,
2024,181156600,31,2000,,
2024,181156601,8,1000,,
2024,181156603,29,300,,
2024,181156604,8,1,,
2024,189483038,36,600,2024-07-24,
2024,189483039,36,600,,
2024,190527381,24,6685,,
2024,180196016,36,2000,,
2024,180196017,63,2500,,
2024,189649460,10,,,
2024,197016997,26,200,,
2024,181545378,24,1000,2024-02-05,
2024,181545379,24,1000,,
2024,181545380,12,500,,
2024,181545381,36,40,,
2024,181545382,29,200,,
2024,181545383,36,100,,
2024,182836639,15,2000,,
2024,185830883,29,50,,
2024,186696443,17,2000,,
2024,189649461,13,400,,
2024,189649462,8,1,,
2024,189649462,20,67,,
2024,189649463,56,20,,
2024,189649464,2,3,,
2024,189649465,10,,,
2024,189649466,3,15000,2024-07-19,
2024,189649467,3,16000,,
2024,189649469,9,,,
2024,189649470,9,,,
2024,189649471,3,12000,2024-08-23,
2024,189649472,3,12000,,
2024,189649473,3,10000,,
2024,190934189,9,0,,
2024,190934190,8,20,,
2024,190934191,45,200,,
2024,193847001,8,7,,
2024,193847002,24,12000,,
2024,180138491,38,1,,
2024,180138492,7,190,,
2024,180138492,20,50,,
2024,180138493,3,800,,
2024,180138494,63,1,,
2024,180138495,3,10000,,
2024,180138496,6,20,,
2024,180138496,16,296,,
2024,180138496,20,1700,,
2024,180138496,61,222,,
2024,180138497,35,100,,
2024,180138498,17,100,,
2024,180138499,63,1,,
2024,180138500,38,1250,,
2024,180138501,13,200,,
2024,180138501,24,600,,
2024,180138501,63,800,,
2024,180138502,3,5001,,
2024,180138503,3,1000,,
2024,180138504,36,900,,
2024,180138505,16,2200,,
2024,180138505,20,6000,,
2024,180138505,24,3500,,
2024,180138505,36,4000,,
2024,180138505,38,500,,
2024,180138506,20,10,,
2024,180138507,8,200,,
2024,180138508,7,10000,,
2024,180138509,63,500,,
2024,180138510,8,6,,
2024,180138511,63,1,,
2024,180138513,63,57,,
2024,180138514,10,,,
2024,180138516,16,80,,
2024,180138516,20,100,,
2024,180138517,63,1,,
2024,180138518,16,4100,,
2024,180138519,63,1,,
2024,180138520,26,150,,
2024,180138521,3,500,,
2024,180138522,63,1,,
2024,180138524,3,500,,
2024,180138525,63,1,,
2024,180138526,24,1500,,
2024,180138527,38,600,,
2024,180138528,3,1,,
2024,180138528,26,75,,
2024,180138528,28,4,,
2024,180138528,36,8750,,
2024,180138529,25,150,,
2024,180138532,10,,,
2024,180138533,20,1500,,
2024,180138534,58,1400,,
2024,180138535,61,1000,,
2024,180138536,20,200,,
2024,180138536,25,300,,
2024,180138537,20,2500,,
2024,180138538,25,100,,
2024,180138538,63,320,,
2024,180138539,25,1,,
2024,180138539,63,320,,
2024,180138540,28,17000,,
2024,180138541,20,30,,
2024,180138541,38,40,,
2024,180138542,30,100,,
2024,180138543,20,500,,
2024,180138544,50,100,,
2024,180138545,36,500,,
2024,180138546,63,80,,
2024,180138547,63,500,,
2024,180138548,10,,,
2024,180138549,3,1,,
2024,180138551,31,3000,,
2024,180138552,20,150,,
2024,180138553,25,450,,
2024,180138553,47,0,,
2024,180138554,38,400,,
2024,180138555,8,300,,
2024,180138556,3,1,2024-01-11,
2024,180138557,63,1,,
2024,180138558,3,1,,
2024,180138559,3,1,,
