data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,8,185267654,16.900,1,17902047
2024,12,185267655,20.300,1,17902048
2024,8,185267655,110.200,1,17902049
2024,12,185267657,0.500,1,17902050
2024,8,185267657,1.000,9,17902051
2024,8,185267658,3.000,9,17902052
2024,8,185267666,12.000,9,17902053
2024,8,186528719,1.000,9,18086975
2024,8,185267687,544.000,9,17902054
2024,2,185267687,1.000,1,17902055
2024,8,185267689,1.000,9,17902056
2024,8,186528724,1.000,9,18086976
2024,8,185267710,1.000,9,17902057
2024,12,186528731,0.100,1,18086977
2024,8,186528731,5.000,9,18086978
2024,8,186528739,34.400,1,18086979
2024,12,186528755,4.600,1,18086980
2024,8,186528755,2.100,1,18086981
2024,8,186528755,13.000,9,18086982
2024,12,186528757,2.000,1,18086983
2024,12,186528760,32.100,1,18086984
2024,8,186528760,8.000,9,18086985
2024,8,186528775,15.000,9,18086987
2024,8,186528783,11.000,9,18086988
2024,8,186528784,1.000,9,18086989
2024,1,186528787,1.000,1,18086990
2024,8,186528790,1.000,9,18086991
2024,2,186528795,0.300,1,18086992
2024,12,186528796,8.000,1,18086993
2024,8,186528797,1.000,9,18086994
2024,8,186528798,12.000,9,18086995
2024,12,186528798,4.200,1,18086996
2024,8,186528814,44.000,9,18086997
2024,8,187880026,2.000,1,18292462
2024,12,186528835,2.000,3,18086998
2024,8,186528835,100.000,9,18086999
2024,12,186528836,18.700,1,18087000
2024,8,186528836,7.900,1,18087001
2024,12,186528838,6.000,1,18087002
2024,8,186528838,5.000,1,18087003
2024,12,186528864,10.400,1,18087004
2024,12,186528870,9.000,1,18087005
2024,8,187880039,25.000,9,18292464
2024,8,186528872,3.000,9,18087006
2024,8,186528881,3.000,9,18087007
2024,12,186528881,1.000,9,18087008
2024,17,186528893,25.000,9,18087009
2024,1,186528895,0.100,1,18087010
2024,17,186528896,4.000,9,18087011
2024,8,186528897,1.000,9,18087012
2024,8,187880042,16.000,9,18292465
2024,8,186528916,25.000,9,18087013
2024,12,186528918,85.500,1,18087014
2024,8,186528918,4.000,9,18087015
2024,12,186528927,1.750,1,18087016
2024,8,186528929,1.000,9,18087017
2024,8,186528942,1.000,1,18087018
2024,2,186528942,0.900,1,18087019
2024,8,187880049,3.000,9,18292467
2024,12,186528953,32.000,1,18087020
2024,8,186528953,65.000,9,18087021
2024,8,187880051,1.000,9,18292468
2024,12,186528972,0.500,1,18087022
2024,17,189482683,1.000,9,18534505
2024,8,187880055,15.000,9,18292470
2024,12,186528978,1.000,1,18087023
2024,8,186528993,17.000,9,18087024
2024,8,189482685,12.000,9,18534506
2024,8,186529008,56.300,1,18087025
2024,8,186529008,41.000,9,18087026
2024,8,186529010,87.000,9,18087027
2024,2,186529019,58.300,1,18087028
2024,5,186529019,11.200,1,18087029
2024,8,186529023,1.000,9,18087030
2024,8,186529027,1.000,9,18087031
2024,12,186529028,9.100,1,18087032
2024,8,186529030,92.000,9,18087033
2024,12,186529030,1.000,1,18087034
2024,12,186529032,0.300,1,18087035
2024,8,186529032,0.900,1,18087036
2024,8,187880079,28.000,9,18292473
2024,12,187880094,0.100,1,18292475
2024,12,186529047,1.000,1,18087037
2024,8,187880104,4.000,9,18292477
2024,8,187880110,9.000,9,18292478
2024,12,187880113,10.600,1,18292479
2024,8,186529069,1.000,9,18087038
2024,8,189482688,17.000,9,18534507
2024,16,186529076,6.000,1,18087039
2024,8,186529076,7.000,9,18087040
2024,2,186529077,3.000,1,18087041
2024,8,186529077,8.500,1,18087042
2024,8,186529080,17.600,1,18087043
2024,8,189482689,68.000,9,18534508
2024,8,187880141,1.000,11,18292484
2024,8,186529086,11.000,9,18087044
2024,12,186529086,0.200,1,18087045
2024,8,190411594,1.000,9,18665850
2024,8,189482696,12.000,9,18534510
2024,17,189482696,1.000,9,18534511
2024,8,189482698,1.000,9,18534512
2024,8,187880182,0.040,1,18292490
2024,8,187880189,2.000,9,18292494
2024,8,187880220,20.400,1,18292496
2024,8,187880221,3.000,9,18292497
2024,12,187880221,2.000,1,18292498
2024,12,187880233,5.000,1,18292499
2024,8,187880253,151.000,9,18292503
2024,8,187880271,26.500,9,18292504
2024,12,187880308,0.500,1,18292507
2024,8,187880335,2.000,9,18292508
2024,8,187880336,10.000,1,18292509
2024,12,187880336,6.000,1,18292510
2024,12,187880374,1.200,1,18292512
2024,12,187880380,54.280,1,18292513
2024,8,187880399,200.000,9,18292517
2024,12,187880405,2.000,1,18292518
2024,8,187880405,3.000,9,18292519
2024,4,187880413,1.000,9,18292520
2024,12,187880413,1.000,1,18292521
2024,8,189482713,5.000,9,18534514
2024,8,187880486,17.000,9,18292525
2024,8,187880489,38.000,9,18292526
2024,12,187880489,1.000,1,18292527
2024,8,187880492,10.000,9,18292528
2024,8,187880504,1.000,9,18292529
2024,12,187880507,19.370,1,18292530
2024,4,187880507,1.240,1,18292531
2024,8,187880515,1.000,9,18292534
2024,8,187880537,3.000,9,18292536
2024,8,187880541,8.000,9,18292537
2024,17,187880543,1.000,1,18292538
2024,8,187880543,4.400,1,18292539
2024,8,187880545,2.000,9,18292540
2024,2,187880548,7.500,1,18292541
2024,8,187880549,2.000,9,18292542
2024,8,187880554,2.500,1,18292544
2024,2,187880591,0.400,1,18292546
2024,12,187880610,5.800,1,18292548
2024,8,187880610,116.100,1,18292549
2024,12,189482725,3.000,1,18534515
2024,8,190411597,1.000,9,18665851
2024,8,187880633,2.000,9,18292550
2024,8,187880639,19.000,9,18292551
2024,1,187880639,6.300,1,18292552
2024,8,187880648,42.000,1,18292553
2024,8,187880651,1.000,9,18292554
2024,8,187880658,1.000,9,18292555
2024,12,187880680,5.500,1,18292556
2024,12,187880701,0.200,1,18292557
2024,12,189482733,1.000,1,18534516
2024,8,189482735,1.000,9,18534517
2024,12,189482736,0.200,1,18534518
2024,8,189482736,3.000,9,18534519
2024,12,187880718,0.400,1,18292558
2024,12,187880719,10.000,1,18292559
2024,8,189482737,1.000,1,18534520
2024,5,189482743,2.500,1,18534521
2024,8,189482743,4.000,9,18534522
