state_abbr,state_name,county_name,latitude,longitude,Population_2024,Arrests_2024,Violent_Crimes_2024,Property_Crimes_2024,Arrest_Rate,Violent_Crime_Rate,Property_Crime_Rate
TX,Texas,WISE,33.2120586,-97.6953714,82295.0,977,113,165.0,1187.1924175223282,137.31089373594992,200.4982076675375
TX,Texas,WOOD,32.747616666666666,-95.41696400000001,45155.0,280,47,276.0,620.086369172849,104.08592625401394,611.2279924703798
TX,Texas,YOAKUM,33.162398,-102.832242,7481.0,80,20,0.0,1069.3757519048256,267.3439379762064,0.0
TX,Texas,YOUNG,33.158787,-98.678267,18415.0,476,25,62.0,2584.8493076296495,135.75889220743957,336.6820526744502
TX,Texas,ZAPATA,26.996981,-99.182603,13839.0,109,16,60.0,787.6291639569333,115.61529012211865,433.5573379579449
TX,Texas,ZAVALA,28.679219000000003,-99.828005,9299.0,305,24,0.0,3279.9225723196046,258.09226798580494,0.0
UT,Utah,BEAVER,38.357535,-113.238948,7366.0,102,13,52.0,1384.7407005158839,176.48655986967145,705.9462394786858
UT,Utah,BOX ELDER,41.4843076,-112.4218128,65071.0,488,97,507.0,749.9500545557929,149.06794117195062,779.148929630711
UT,Utah,CACHE,41.71841333333334,-111.771474,147073.0,4065,155,1003.0,2763.9335568051238,105.38984041938357,681.9742576815595
UT,Utah,CARBON,39.6469432,-110.67605619999999,20882.0,680,52,169.0,3256.393065798295,249.01829326692848,809.3094531175176
UT,Utah,DAGGETT,40.890099,-109.505785,1017.0,0,0,0.0,0.0,0.0,0.0
UT,Utah,DAVIS,41.029905642857145,-112.05464400000001,380630.0,4974,396,3283.0,1306.7808633055722,104.03804219320601,862.517405354281
UT,Utah,DUCHESNE,40.289649,-110.42983,21004.0,1038,51,256.0,4941.915825557036,242.810893163207,1218.815463721196
UT,Utah,EMERY,39.009025,-110.7211,10360.0,201,10,80.0,1940.1544401544402,96.52509652509653,772.2007722007722
UT,Utah,GARFIELD,37.831674,-111.450898,5446.0,44,5,45.0,807.9324274697026,91.8105031215571,826.294528094014
UT,Utah,GRAND,38.573285999999996,-109.54736199999999,9826.0,393,55,89.0,3999.592916751476,559.7394667209444,905.7602279666191
UT,Utah,IRON,37.80123566666666,-113.1714405,67285.0,1331,96,559.0,1978.1526343167125,142.67667385004088,830.7943821059672
UT,Utah,JUAB,39.711807,-112.313434,13570.0,373,14,71.0,2748.710390567428,103.16875460574798,523.2129697862932
UT,Utah,"JUAB, UTAH",39.9756,-111.79102,20580.0,359,20,76.0,1744.4120505344995,97.18172983479106,369.29057337220604
UT,Utah,KANE,37.123641,-112.28977566666667,8781.0,324,8,62.0,3689.7847625555173,91.10579660630908,706.0699236988954
UT,Utah,MILLARD,39.09454,-113.525014,13717.0,263,31,159.0,1917.328861996063,225.99693810599985,1159.145585769483
UT,Utah,MORGAN,41.091027,-111.577885,13361.0,0,0,0.0,0.0,0.0,0.0
UT,Utah,NOT SPECIFIED,40.48504575,-111.63099675000001,0.0,9745,106,113.0,inf,inf,inf
UT,Utah,PIUTE,38.335881,-112.129375,1607.0,8,0,3.0,497.82202862476663,0.0,186.6832607342875
UT,Utah,RICH,41.627598,-111.240227,2759.0,0,1,6.0,0.0,36.24501631025734,217.47009786154402
UT,Utah,SALT LAKE,40.6572655625,-111.91750775,1153051.0,42277,4210,29252.0,3666.533397048353,365.11828184529566,2536.921610579237
UT,Utah,"SALT LAKE, UTAH",40.525146,-111.86235,49166.0,540,89,548.0,1098.31997722003,181.0194036529309,1114.5913842899565
UT,Utah,SAN JUAN,37.6206785,-109.632162,14464.0,279,15,33.0,1928.9269911504425,103.70575221238938,228.15265486725664
UT,Utah,SANPETE,39.3754385,-111.57461075,25983.0,237,26,115.0,912.134857406766,100.06542739483508,442.5970827079244
UT,Utah,SEVIER,38.752137999999995,-111.87979,22868.0,355,32,215.0,1552.3876158824557,139.93353157250306,940.1784152527549
UT,Utah,SUMMIT,40.87206,-110.968486,32990.0,620,74,277.0,1879.3573810245528,224.31039709002727,839.6483782964535
UT,Utah,"SUMMIT, WASATCH",40.87206,-110.968486,8201.0,212,36,164.0,2585.050603584929,438.97085721253507,1999.7561273015485
UT,Utah,TOOELE,40.555393333333335,-112.34749833333332,84996.0,2579,266,868.0,3034.2604357852138,312.955903807238,1021.2245282130924
UT,Utah,UINTAH,40.331723333333336,-109.51442266666668,38897.0,2278,70,447.0,5856.4927886469395,179.96246497159163,1149.1888834614494
UT,Utah,UTAH,40.01622123529412,-111.7857235882353,722971.0,18008,933,6118.0,2490.832965637626,129.0508194657877,846.2303467220676
UT,Utah,WASATCH,40.51612299999999,-111.41145,38280.0,1397,66,267.0,3649.425287356322,172.41379310344828,697.4921630094044
UT,Utah,WASHINGTON,37.1984935,-113.47531875,212130.0,6517,382,1926.0,3072.1727242728516,180.0782539009098,907.9338141705558
UT,Utah,WAYNE,38.261229,-110.990322,2682.0,0,0,0.0,0.0,0.0,0.0
UT,Utah,WEBER,41.26235511111111,-111.94770855555555,278058.0,6158,709,3466.0,2214.6458652511346,254.98277337821605,1246.502528249502
VA,Virginia,ACCOMACK,37.75713233333333,-75.7562575,33445.0,633,67,307.0,1892.6595903722528,200.32889819105995,917.9249514127673
VA,Virginia,ALBEMARLE,38.031726,-78.54315066666668,117655.0,1861,147,1864.0,1581.7432323318178,124.941566444265,1584.2930602184354
VA,Virginia,ALEXANDRIA CITY,38.818343,-77.082026,155153.0,3095,394,4150.0,1994.80512784155,253.94288218726032,2674.7790890282495
VA,Virginia,ALLEGHANY,37.808646,-79.87472333333334,14517.0,338,42,131.0,2328.304746159675,289.31597437487085,902.3903010263828
VA,Virginia,AMELIA,37.331927,-77.977462,13657.0,262,26,77.0,1918.4301091015595,190.37856044519293,563.8134290107637
VA,Virginia,AMHERST,37.630362,-79.147848,31667.0,371,75,318.0,1171.566615088262,236.83961221460828,1004.199955789939
VA,Virginia,APPOMATTOX,37.370725,-78.81094,17241.0,234,22,89.0,1357.2298590568994,127.60280726175975,516.2113566498463
VA,Virginia,ARLINGTON,38.878943666666665,-77.08324599999999,234449.0,4774,753,5584.0,2036.2637503252308,321.1785932121698,2381.754667326369
VA,Virginia,AUGUSTA,38.167807,-79.146682,79081.0,1123,108,562.0,1420.062973407013,136.56883448615974,710.6637498261276
VA,Virginia,BATH,37.943158999999994,-79.768769,4038.0,80,8,11.0,1981.1788013868252,198.1178801386825,272.41208519068846
VA,Virginia,BEDFORD,37.31925833333333,-79.51814766666666,82828.0,1501,106,505.0,1812.1891147920992,127.9760467474767,609.6972038441107
VA,Virginia,BLAND,37.130612,-81.125853,6202.0,175,12,31.0,2821.6704288939054,193.48597226701065,499.8387616897775
VA,Virginia,BOTETOURT,37.619828999999996,-79.647637,34553.0,729,49,224.0,2109.8023326483953,141.81113072670968,648.2794547506728
VA,Virginia,BRISTOL CITY,36.596535,-82.180374,16775.0,2467,73,511.0,14706.408345752609,435.1713859910581,3046.199701937407
VA,Virginia,BRUNSWICK,36.75522466666666,-77.738365,15847.0,305,21,94.0,1924.6545087398245,132.51719568372565,593.1722092509624
VA,Virginia,BUCHANAN,37.26812,-82.038151,18861.0,870,28,251.0,4612.692858278989,148.45448279518584,1330.7883993425587
VA,Virginia,BUCKINGHAM,37.573928,-78.529169,17160.0,157,36,147.0,914.9184149184149,209.7902097902098,856.6433566433567
VA,Virginia,BUENA VISTA CITY,37.731663,-79.356375,6598.0,163,3,22.0,2470.445589572598,45.46832373446499,333.43437405274324
VA,Virginia,CAMPBELL,37.210151,-79.095428,55575.0,1372,70,605.0,2468.735942420153,125.95591542959964,1088.6189833558255
VA,Virginia,CAROLINE,38.030319,-77.352348,33491.0,1028,69,255.0,3069.481353199367,206.02549938789528,761.3985846943955
VA,Virginia,CARROLL,36.731951,-80.727838,29496.0,271,33,195.0,918.7686465961486,111.87957689178192,661.1065907241659
VA,Virginia,CHARLES CITY,37.361054,-77.05417,6617.0,46,15,26.0,695.1790841771195,226.6888317968868,392.9273084479371
VA,Virginia,CHARLOTTE,37.033163,-78.649732,11355.0,237,8,67.0,2087.1862615587847,70.45354469396742,590.0484368119771
VA,Virginia,CHARLOTTESVILLE CITY,38.037658,-78.485381,44844.0,1105,162,1439.0,2464.097761127464,361.25234145036126,3208.9019712782087
VA,Virginia,CHESAPEAKE CITY,36.71744,-76.24797,257248.0,4789,888,4525.0,1861.6276900111955,345.1921880830949,1759.002985445951
VA,Virginia,CHESTERFIELD,37.4443305,-77.6760235,393296.0,7666,653,5549.0,1949.1680566291038,166.03270818925188,1410.8966274765062
VA,Virginia,CLARKE,39.13046,-78.05525533333333,15812.0,237,15,89.0,1498.861624082975,94.86465975208702,562.863647862383
VA,Virginia,COLONIAL HEIGHTS CITY,37.258804,-77.40494,18605.0,1813,89,596.0,9744.692287019618,478.3660306369256,3203.439935501209
