,county,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
720,St. Joseph County,Indiana,0.059000000000000004,0.062,0.067,0.077,0.076,0.136,0.128,0.10800000000000001,0.055999999999999994,0.055,0.105,0.051,0.02,0.509,0.491,273744.0
721,St. Landry Parish,Louisiana,0.065,0.071,0.076,0.08199999999999999,0.057999999999999996,0.102,0.139,0.106,0.057,0.066,0.106,0.053,0.019,0.516,0.484,80869.0
722,St. Lawrence County,New York,0.045,0.059000000000000004,0.052000000000000005,0.1,0.075,0.10400000000000001,0.125,0.11,0.059000000000000004,0.07400000000000001,0.11800000000000001,0.059000000000000004,0.02,0.49200000000000005,0.508,106198.0
723,St. Louis County,Minnesota,0.045,0.051,0.052000000000000005,0.066,0.08900000000000001,0.11599999999999999,0.12300000000000001,0.109,0.051,0.075,0.134,0.069,0.021,0.499,0.501,200794.0
724,St. Louis County,Missouri,0.053,0.062,0.062,0.063,0.061,0.126,0.13,0.11599999999999999,0.062,0.064,0.115,0.063,0.023,0.522,0.478,992929.0
725,St. Louis city,Missouri,0.053,0.053,0.045,0.048,0.065,0.192,0.155,0.109,0.055,0.062,0.107,0.044000000000000004,0.015,0.518,0.48200000000000004,279695.0
726,St. Lucie County,Florida,0.049,0.059000000000000004,0.051,0.057999999999999996,0.047,0.115,0.122,0.11599999999999999,0.057,0.077,0.134,0.081,0.033,0.509,0.491,390670.0
727,St. Mary's County,Maryland,0.064,0.055999999999999994,0.078,0.055999999999999994,0.065,0.133,0.145,0.11699999999999999,0.066,0.069,0.08800000000000001,0.055,0.008,0.511,0.489,116469.0
728,St. Tammany Parish,Louisiana,0.055999999999999994,0.07,0.06,0.069,0.055999999999999994,0.113,0.132,0.121,0.059000000000000004,0.071,0.113,0.066,0.015,0.514,0.486,277615.0
729,Stafford County,Virginia,0.06,0.081,0.069,0.073,0.071,0.126,0.147,0.133,0.062,0.054000000000000006,0.079,0.037000000000000005,0.008,0.503,0.49700000000000005,168919.0
730,Stanislaus County,California,0.064,0.073,0.07400000000000001,0.078,0.068,0.14,0.136,0.11699999999999999,0.057,0.05,0.085,0.044000000000000004,0.015,0.501,0.499,556972.0
731,Stanly County,North Carolina,0.045,0.06,0.063,0.081,0.057999999999999996,0.126,0.128,0.11699999999999999,0.066,0.073,0.109,0.059000000000000004,0.016,0.507,0.493,67326.0
732,Stark County,Ohio,0.052000000000000005,0.062,0.057999999999999996,0.065,0.059000000000000004,0.12300000000000001,0.121,0.115,0.06,0.07200000000000001,0.124,0.069,0.021,0.509,0.491,374091.0
