,county,state,In labor force,Not in labor force,Population 16 years and over
167,Cochise County,Arizona,0.511,0.489,103233.0
168,Coconino County,Arizona,0.6609999999999999,0.33899999999999997,121957.0
169,Cole County,Missouri,0.6609999999999999,0.33899999999999997,63169.0
170,Collier County,Florida,0.501,0.499,358050.0
171,Collin County,Texas,0.7170000000000001,0.28300000000000003,990793.0
172,Columbia County,Florida,0.574,0.426,60264.0
173,Columbia County,Georgia,0.644,0.35600000000000004,132343.0
174,Columbia County,Pennsylvania,0.611,0.389,55885.0
175,Columbiana County,Ohio,0.5539999999999999,0.446,82237.0
176,Comal County,Texas,0.653,0.34700000000000003,162665.0
177,Comanche County,Oklahoma,0.604,0.396,96018.0
178,Contra Costa County,California,0.638,0.36200000000000004,954525.0
179,Cook County,Illinois,0.669,0.331,4264275.0
180,Coryell County,Texas,0.5429999999999999,0.457,68945.0
181,Coweta County,Georgia,0.6609999999999999,0.33899999999999997,126858.0
182,Cowlitz County,Washington,0.603,0.397,92068.0
183,Craighead County,Arkansas,0.619,0.381,90569.0
184,Craven County,North Carolina,0.603,0.397,84532.0
185,Crawford County,Pennsylvania,0.539,0.461,67913.0
186,Creek County,Oklahoma,0.575,0.425,59176.0
187,Crow Wing County,Minnesota,0.613,0.387,56714.0
188,Cullman County,Alabama,0.561,0.439,74080.0
189,Cumberland County,Maine,0.6729999999999999,0.327,264966.0
190,Cumberland County,New Jersey,0.569,0.431,123334.0
191,Cumberland County,North Carolina,0.627,0.373,262094.0
192,Cumberland County,Pennsylvania,0.6559999999999999,0.344,226596.0
193,Cumberland County,Tennessee,0.455,0.545,55291.0
194,Cuyahoga County,Ohio,0.648,0.35200000000000004,1021217.0
195,Dakota County,Minnesota,0.703,0.297,360339.0
196,Dallas County,Iowa,0.7440000000000001,0.256,89155.0
197,Dallas County,Texas,0.693,0.307,2084361.0
198,Dane County,Wisconsin,0.715,0.285,489357.0
199,Dauphin County,Pennsylvania,0.642,0.358,237039.0
200,Davidson County,North Carolina,0.604,0.396,145992.0
201,Davidson County,Tennessee,0.742,0.258,596730.0
202,Daviess County,Kentucky,0.605,0.395,82338.0
203,Davis County,Utah,0.6940000000000001,0.306,283955.0
204,DeKalb County,Alabama,0.551,0.449,57754.0
205,DeKalb County,Georgia,0.6990000000000001,0.301,619107.0
206,DeKalb County,Illinois,0.6890000000000001,0.311,81826.0
207,DeSoto County,Mississippi,0.7040000000000001,0.29600000000000004,154737.0
208,Delaware County,Indiana,0.599,0.401,94750.0
209,Delaware County,Ohio,0.69,0.31,188870.0
210,Delaware County,Pennsylvania,0.647,0.353,470417.0
211,Denton County,Texas,0.7190000000000001,0.281,837147.0
212,Denver County,Colorado,0.738,0.262,614929.0
213,Deschutes County,Oregon,0.653,0.34700000000000003,178501.0
214,District of Columbia,District of Columbia,0.713,0.287,584506.0
215,Dodge County,Wisconsin,0.619,0.381,74262.0
216,Dorchester County,South Carolina,0.6709999999999999,0.32899999999999996,138599.0
217,Dougherty County,Georgia,0.569,0.431,65362.0
218,Douglas County,Colorado,0.7190000000000001,0.281,317746.0
219,Douglas County,Georgia,0.67,0.33,119915.0
220,Douglas County,Kansas,0.705,0.295,102842.0
221,Douglas County,Nebraska,0.7020000000000001,0.298,469732.0
222,Douglas County,Oregon,0.502,0.498,93849.0
223,Doña Ana County,New Mexico,0.607,0.39299999999999996,183912.0
224,DuPage County,Illinois,0.677,0.32299999999999995,759903.0
225,Dubuque County,Iowa,0.669,0.331,78978.0
226,Durham County,North Carolina,0.6859999999999999,0.314,283768.0
227,Dutchess County,New York,0.619,0.381,253824.0
228,Duval County,Florida,0.6709999999999999,0.32899999999999996,849146.0
229,East Baton Rouge Parish,Louisiana,0.614,0.386,362715.0
230,Eaton County,Michigan,0.642,0.358,90443.0
231,Eau Claire County,Wisconsin,0.703,0.297,91478.0
232,Ector County,Texas,0.6759999999999999,0.324,123712.0
233,Effingham County,Georgia,0.696,0.304,56109.0
234,El Dorado County,California,0.588,0.41200000000000003,160464.0
235,El Paso County,Colorado,0.6809999999999999,0.319,604366.0
236,El Paso County,Texas,0.625,0.375,682816.0
237,Elkhart County,Indiana,0.653,0.34700000000000003,159888.0
238,Ellis County,Texas,0.662,0.33799999999999997,178284.0
239,Elmore County,Alabama,0.617,0.38299999999999995,74042.0
240,Erie County,New York,0.627,0.373,784109.0
241,Erie County,Ohio,0.621,0.379,62030.0
242,Erie County,Pennsylvania,0.602,0.39799999999999996,220685.0
243,Escambia County,Florida,0.625,0.375,270879.0
244,Essex County,Massachusetts,0.677,0.32299999999999995,672755.0
245,Essex County,New Jersey,0.67,0.33,701868.0
246,Etowah County,Alabama,0.557,0.44299999999999995,83301.0
247,Fairbanks North Star Borough,Alaska,0.688,0.312,75427.0
248,Fairfax County,Virginia,0.706,0.294,937914.0
249,Fairfield County,Ohio,0.66,0.34,133370.0
250,Faulkner County,Arkansas,0.66,0.34,105211.0
251,Fauquier County,Virginia,0.645,0.355,59772.0
252,Fayette County,Georgia,0.607,0.39299999999999996,102829.0
253,Fayette County,Kentucky,0.6990000000000001,0.301,269466.0
254,Fayette County,Pennsylvania,0.564,0.436,103769.0
255,Flagler County,Florida,0.526,0.474,119469.0
256,Flathead County,Montana,0.606,0.39399999999999996,93405.0
257,Florence County,South Carolina,0.606,0.39399999999999996,109515.0
258,Floyd County,Georgia,0.583,0.41700000000000004,81490.0
259,Floyd County,Indiana,0.642,0.358,65358.0
260,Fond du Lac County,Wisconsin,0.66,0.34,85440.0
261,Forrest County,Mississippi,0.635,0.365,62779.0
262,Forsyth County,Georgia,0.685,0.315,220202.0
263,Forsyth County,North Carolina,0.6409999999999999,0.359,318967.0
264,Fort Bend County,Texas,0.674,0.326,740445.0
265,Franklin County,Massachusetts,0.626,0.374,61313.0
266,Franklin County,Missouri,0.632,0.368,86945.0
267,Franklin County,North Carolina,0.61,0.39,64836.0
268,Franklin County,Ohio,0.691,0.309,1081193.0
269,Franklin County,Pennsylvania,0.638,0.36200000000000004,129408.0
270,Franklin County,Washington,0.635,0.365,75477.0
271,Frederick County,Maryland,0.7140000000000001,0.28600000000000003,238001.0
272,Frederick County,Virginia,0.628,0.37200000000000005,78618.0
273,Fresno County,California,0.628,0.37200000000000005,781105.0
274,Fulton County,Georgia,0.706,0.294,894892.0
275,Gallatin County,Montana,0.741,0.259,106735.0
276,Galveston County,Texas,0.647,0.353,291803.0
277,Garland County,Arkansas,0.539,0.461,82534.0
278,Gaston County,North Carolina,0.645,0.355,193784.0
279,Geauga County,Ohio,0.622,0.37799999999999995,78388.0
280,Genesee County,Michigan,0.591,0.409,326150.0
281,Georgetown County,South Carolina,0.519,0.48100000000000004,57068.0
282,Gloucester County,New Jersey,0.667,0.33299999999999996,255081.0
283,Glynn County,Georgia,0.622,0.37799999999999995,73075.0
284,Grafton County,New Hampshire,0.63,0.37,80876.0
285,Grand Forks County,North Dakota,0.716,0.284,60699.0
286,Grand Traverse County,Michigan,0.645,0.355,79996.0
287,Grant County,Indiana,0.557,0.44299999999999995,53415.0
288,Grant County,Washington,0.621,0.379,80034.0
289,Grays Harbor County,Washington,0.49200000000000005,0.508,65943.0
290,Grayson County,Texas,0.639,0.361,119870.0
291,Greater Bridgeport Planning Region,Connecticut,0.655,0.345,271537.0
292,Greene County,Missouri,0.65,0.35,252622.0
