yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
20352024,2035,2024,CO0460100,CO0460100,,N,N,,I,OURAY,OURAY,Ouray,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,927,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,5.4,5.4,1992-01-01,1997-01-01,2003-04-01,2014-03-01,2016-02-01,2013-04-01,N,OURAY,Not Specified,Y,Y,Y
20362024,2036,2024,CO0460200,CO0460200,,N,N,,I,RIDGWAY,RIDGWAY,Ridgway,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,1270,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,3.9,3.9,1992-01-01,2019-01-01,2019-01-01,2020-03-01,2020-03-01,2020-03-01,N,OURAY,Not Specified,Y,Y,Y
20372024,2037,2024,CO0470000,CO0470000,,N,N,,I,PARK,PARK,Park,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,17764,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,20,17,37,5,12,17,1.4,3.0,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PARK,"Denver-Aurora-Centennial, CO",Y,Y,Y
20382024,2038,2024,CO0470100,CO0470100,,N,N,,I,FAIRPLAY,FAIRPLAY,Fairplay,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,740,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,7,0,7,2,0,2,12.2,12.2,1992-01-01,1997-09-01,1997-09-01,2014-04-01,2019-04-01,2013-04-01,N,PARK,"Denver-Aurora-Centennial, CO",Y,Y,Y
20402024,2040,2024,CO0480000,CO0480000,,N,N,,I,PHILLIPS,PHILLIPS,Phillips,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,1251,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,0,4,0,1,1,3.2,4.0,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PHILLIPS,Not Specified,Y,Y,Y
20412024,2041,2024,CO0480100,CO0480100,,N,N,,I,HOLYOKE,HOLYOKE,Holyoke,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,2279,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,1,0,1,2.6,2.6,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PHILLIPS,Not Specified,Y,Y,Y
20422024,2042,2024,CO0480200,CO0480200,,N,N,,I,HAXTUN,HAXTUN,Haxtun,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,965,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,1,1,2.1,3.1,1992-01-01,1999-01-01,2003-07-01,2014-06-01,2016-01-01,2013-04-01,N,PHILLIPS,Not Specified,Y,Y,Y
20432024,2043,2024,CO0490000,CO0490000,,N,N,,I,PITKIN,PITKIN,Pitkin,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,6019,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,24,15,39,5,4,9,4.8,8.0,1992-01-01,2009-07-01,2010-03-01,2014-02-01,2016-02-01,2013-04-01,N,PITKIN,Not Specified,Y,Y,Y
20442024,2044,2024,CO0490100,CO0490100,,N,N,,I,ASPEN,ASPEN,Aspen,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,6489,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,24,3,27,8,6,14,4.9,6.3,1992-01-01,2011-01-01,2011-02-01,2014-02-01,2016-01-01,2013-04-01,N,PITKIN,Not Specified,Y,Y,Y
20452024,2045,2024,CO0490200,CO0490200,,N,N,,I,SNOWMASS VILLAGE,SNOWMASS VILLAGE,Snowmass Village,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,2984,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,1,3,4,3.0,4.0,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,PITKIN,Not Specified,Y,Y,Y
