data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,16,196813455,2.000,9,19563969
2024,12,196811136,0.150,1,19563772
2024,12,198084674,0.830,1,19756692
2024,12,198084214,1.500,1,19756647
2024,12,198083428,0.980,1,19756500
2024,16,198083428,4.770,1,19756501
2024,12,198092750,0.140,1,19757424
2024,17,198666282,0.950,1,19839934
2024,12,198084863,3.730,1,19756704
2024,12,198083453,2.950,1,19756504
2024,12,198084688,0.410,1,19756693
2024,12,198083451,0.620,1,19756503
2024,12,198083388,0.220,1,19756495
2024,12,198092724,0.910,1,19757418
2024,15,198092724,1.000,9,19757419
2024,16,198092724,0.660,1,19757420
2024,1,198083423,19.900,1,19756499
2024,2,198083407,2.050,1,19756497
2024,12,198084227,5.580,1,19756649
2024,16,198084227,0.580,1,19756650
2024,12,198084758,1.710,1,19756694
2024,1,198093102,1.990,1,19757443
2024,12,198083397,0.900,1,19756496
2024,12,198084114,2.340,1,19756645
2024,12,198084769,3.170,1,19756695
2024,12,198084223,0.090,1,19756648
2024,12,198083376,0.520,1,19756493
2024,16,198083376,0.720,1,19756494
2024,7,198084847,92.750,1,19756703
2024,12,198093074,0.347,1,19757439
2024,12,198083471,9.120,1,19756505
2024,12,198084650,6.070,1,19756691
2024,12,198093111,52.650,9,19757444
2024,12,198084213,5.590,1,19756646
2024,12,198084792,0.660,1,19756699
2024,7,198093089,1.500,9,19757440
2024,2,198092728,6.940,1,19757421
2024,16,198092728,1.000,1,19757422
2024,12,198084843,0.920,1,19756702
2024,12,198092734,2.040,1,19757423
2024,12,198084774,0.120,1,19756697
2024,8,198084101,0.290,1,19756644
2024,12,198084811,0.520,1,19756701
2024,8,198095123,9.970,1,19757709
2024,12,198095123,11.280,1,19757710
2024,12,198094491,41.430,1,19757628
2024,12,198094205,1.160,1,19757559
2024,8,198095020,1.180,1,19757703
2024,12,198095020,9.190,1,19757704
2024,16,198094557,0.110,1,19757630
2024,12,198093896,0.300,1,19757541
2024,12,198095063,0.330,1,19757708
2024,5,198094260,12.960,1,19757565
2024,2,198093180,0.150,1,19757446
2024,12,198095061,5.020,1,19757705
2024,12,198094499,0.830,1,19757629
2024,12,198094576,0.040,1,19757631
2024,12,198094288,0.460,1,19757569
2024,16,198094288,0.280,1,19757570
2024,7,198093852,8.050,1,19757539
2024,12,198093850,2.000,1,19757538
2024,12,198094586,0.120,1,19757633
2024,8,198094237,0.100,1,19757561
2024,12,198094237,2.280,1,19757562
2024,15,198094237,0.180,1,19757563
2024,5,198094281,2.780,1,19757568
2024,8,198094278,0.250,1,19757567
2024,12,198094263,0.200,1,19757566
2024,12,198094207,0.910,1,19757560
2024,12,198093155,0.240,1,19757445
2024,16,198096072,325.230,1,19757912
2024,12,198095889,0.750,1,19757900
2024,2,198095648,7.460,1,19757889
2024,12,198095713,0.840,1,19757893
2024,5,198095645,1.000,11,19757888
2024,7,198095199,0.110,1,19757719
2024,12,198095916,0.860,1,19757901
2024,7,198095883,3.030,1,19757899
2024,12,198095678,2.150,1,19757891
2024,16,198095678,9.000,9,19757892
2024,16,198096098,1.820,1,19757914
2024,16,198095746,3.000,9,19757894
2024,5,198096006,1.000,9,19757910
2024,12,198095847,0.880,1,19757898
2024,8,198096307,13.920,1,19757930
2024,12,198096107,0.120,1,19757915
2024,12,198095190,25.280,1,19757717
2024,12,197833044,7.930,1,19717794
2024,7,198096090,7.310,1,19757913
2024,16,198096032,1.130,1,19757911
2024,12,198096330,0.040,1,19757933
2024,17,198096330,1.000,11,19757934
2024,12,198396986,0.200,1,19803947
2024,12,198398835,3.510,1,19804265
2024,12,198398978,1.430,1,19804279
2024,2,198398970,3.900,1,19804275
2024,12,198396996,0.340,1,19803948
2024,16,198396996,2.230,1,19803949
2024,16,198398971,0.230,1,19804276
