data_year,weapon_id,offense_id,nibrs_weapon_id
2024,41,246854041,
2024,39,234785445,
2024,1,234785611,
2024,41,234785619,
2024,41,235124255,
2024,41,235579017,
2024,41,234785351,
2024,41,234785612,
2024,5,234785410,
2024,38,236386783,
2024,38,236386784,
2024,5,235875794,
2024,5,235875796,
2024,41,236265227,
2024,1,246855936,
2024,41,237214042,
2024,41,236272930,
2024,41,236265207,
2024,41,236272977,
2024,41,241323298,
2024,5,246855945,
2024,41,237396015,
2024,41,238700008,
2024,41,246855960,
2024,41,236272972,
2024,5,239356845,
2024,41,236278056,
2024,41,238112699,
2024,1,238112719,
2024,41,236264510,
2024,41,236270042,
2024,41,237214794,
2024,41,238112748,
2024,41,238112749,
2024,21,236272975,
2024,5,236273018,
2024,5,236273021,
2024,41,237214800,
2024,41,236278093,
2024,5,238112759,
2024,21,236264498,
2024,41,238598849,
2024,41,238721308,
2024,41,238598803,
2024,41,238597424,
2024,39,238598543,
2024,41,238598572,
2024,41,238721393,
2024,38,238721393,
2024,5,238721255,
2024,41,238597802,
2024,41,238598603,
2024,41,238721394,
2024,41,238598535,
2024,1,238597394,
2024,41,238597426,
2024,5,238597778,
2024,41,238597361,
2024,41,238597340,
2024,38,239006709,
2024,38,239006710,
2024,38,238597433,
2024,1,238598622,
2024,41,238597430,
2024,5,238598574,
2024,41,238721382,
2024,41,238598527,
2024,32,238598601,
2024,41,236272986,
2024,41,238598523,
2024,41,238598804,
2024,41,238597374,
2024,1,238721254,
2024,41,238609033,
2024,41,238721261,
2024,41,238597396,
2024,41,238597397,
2024,5,238597339,
2024,41,238598538,
2024,41,238597352,
2024,1,238597788,
2024,39,238597715,
2024,41,238597383,
2024,41,238598545,
2024,5,238597712,
2024,5,238597408,
2024,41,238598567,
2024,41,238597761,
2024,5,238598623,
2024,41,238598626,
2024,41,238597785,
2024,41,238597786,
2024,39,238721355,
2024,1,238598810,
2024,41,238597388,
2024,41,238598820,
2024,1,238721259,
2024,39,238598577,
2024,39,238721372,
2024,41,238598796,
2024,5,238721373,
2024,39,238597380,
2024,5,238597354,
2024,39,238597344,
2024,41,238597773,
2024,41,238597418,
2024,38,238597755,
2024,21,238598830,
2024,39,238598627,
2024,39,238597356,
2024,39,240186707,
2024,39,238721163,
2024,39,238598609,
2024,38,238597765,
2024,41,238721306,
2024,41,238598573,
2024,41,238598590,
2024,38,238597347,
2024,31,238598610,
2024,5,239006704,
2024,41,239158307,
2024,21,239159356,
2024,41,239158441,
2024,5,239158394,
2024,39,239159373,
2024,41,239159339,
2024,41,239159199,
2024,41,239159202,
2024,39,240404126,
2024,39,239159357,
2024,41,239158177,
2024,41,239158193,
2024,41,239158211,
2024,41,239158197,
2024,38,239158373,
2024,38,239158456,
2024,5,239158199,
2024,41,239159395,
2024,41,239158208,
2024,41,239159178,
2024,41,239158469,
2024,5,239158538,
2024,39,239158210,
2024,39,239158467,
2024,5,239158385,
2024,32,240404063,
2024,39,239158365,
2024,21,239158314,
2024,41,239158363,
2024,42,239158428,
2024,38,239159326,
2024,39,238598823,
2024,41,240404131,
2024,42,239158544,
2024,38,239159327,
2024,41,239159389,
2024,41,239159316,
2024,5,239158200,
2024,41,239158492,
2024,41,239159251,
2024,1,239158300,
2024,41,240404128,
2024,39,239158374,
2024,41,239159261,
2024,41,239159229,
2024,41,239159396,
2024,41,239159346,
2024,41,239158383,
2024,1,239158457,
2024,5,240403961,
2024,41,239159377,
2024,38,239158305,
2024,21,239159387,
2024,39,240753973,
2024,1,239159398,
2024,5,239158473,
2024,41,241323168,
2024,38,239158341,
2024,41,239158356,
2024,5,239159305,
2024,39,239158226,
2024,41,239158517,
2024,41,239158327,
2024,38,239158510,
2024,39,239159216,
2024,38,239159226,
2024,5,240403962,
2024,41,239158504,
2024,39,239159375,
2024,32,239158359,
2024,21,239159247,
2024,31,239158355,
2024,42,239158499,
2024,41,240186719,
2024,41,240186720,
2024,41,239159217,
2024,9,239158476,
2024,41,239159272,
2024,41,239159183,
2024,41,239159170,
2024,1,239159399,
2024,41,239158207,
2024,1,239159337,
2024,39,239158519,
2024,41,240404130,
2024,38,239159173,
2024,41,239159382,
2024,38,239158337,
2024,1,241323894,
2024,41,239159253,
2024,41,239158201,
2024,1,239158180,
2024,38,239158481,
2024,41,239158348,
2024,41,239158349,
2024,41,239159302,
2024,41,239159381,
2024,41,239159240,
2024,21,244878250,
2024,5,241323101,
2024,41,241323231,
2024,41,241323135,
2024,41,241323282,
2024,41,241323248,
2024,39,241323166,
2024,41,241323287,
2024,5,241323112,
2024,5,241323865,
2024,39,241323862,
2024,21,241323130,
2024,5,241322998,
2024,1,241322995,
2024,38,241323171,
2024,39,241322997,
2024,41,241323229,
2024,41,241323083,
2024,39,241323200,
2024,41,241322851,
2024,21,241323107,
2024,41,241323239,
2024,5,241322909,
2024,42,241323092,
2024,41,241323255,
2024,41,241323165,
2024,41,241323073,
2024,38,241323119,
2024,31,241323159,
2024,41,241323063,
2024,38,241322872,
2024,41,241322855,
2024,1,241323036,
2024,41,241322941,
2024,1,241323141,
2024,5,241323320,
2024,38,241323090,
2024,41,241322900,
2024,41,241323066,
2024,41,241322955,
2024,41,241323314,
2024,39,241323869,
2024,39,241323144,
2024,41,241323006,
2024,38,241323243,
2024,41,241323272,
2024,21,241323164,
2024,41,241322873,
2024,41,241323312,
2024,21,241323214,
2024,5,241322954,
2024,21,244376373,
2024,41,241323268,
2024,41,241322985,
2024,21,241322893,
2024,41,241323054,
2024,1,241323192,
2024,41,241323188,
2024,41,241322930,
2024,41,243639086,
2024,41,241323279,
2024,41,241323280,
2024,39,241323230,
2024,41,241322943,
2024,38,241323157,
2024,21,241323118,
2024,38,241323035,
2024,41,241322902,
2024,5,241322960,
2024,38,241323013,
2024,41,241323147,
2024,41,242766324,
2024,41,241322979,
2024,41,242766270,
2024,42,241323221,
2024,41,241323055,
2024,38,241323149,
2024,41,241323086,
2024,5,241323044,
2024,21,241322999,
2024,31,241322936,
2024,38,241322891,
2024,32,241323016,
2024,41,241323891,
2024,41,241323148,
2024,41,241323250,
2024,38,241322940,
2024,41,241323247,
2024,38,243638985,
2024,39,243644501,
2024,31,243643297,
2024,39,243639094,
2024,5,243923696,
2024,41,243643200,
2024,41,243637240,
2024,41,243637343,
2024,41,243637344,
2024,5,243637211,
2024,41,243637298,
2024,21,243643236,
2024,41,243641473,
2024,41,243643232,
2024,41,243637204,
2024,41,243641448,
2024,41,243637280,
2024,38,243643209,
2024,41,243637325,
2024,1,243638902,
2024,41,243637228,
2024,31,243643220,
2024,39,243637162,
2024,41,243638963,
2024,41,243639100,
2024,5,243639090,
2024,41,243638888,
2024,39,243644587,
2024,38,243643127,
2024,39,241323253,
2024,41,243637152,
2024,5,243638919,
2024,41,243641528,
2024,41,243637255,
2024,31,243643160,
2024,41,243638915,
2024,41,243637166,
2024,5,243643180,
2024,31,243644508,
2024,5,243643216,
2024,1,243641535,
2024,21,243639078,
2024,5,243639065,
2024,5,243638996,
2024,41,243644492,
2024,38,243638968,
2024,39,243641509,
2024,41,243637217,
2024,41,243637333,
2024,41,243641507,
2024,41,243641508,
2024,41,243643154,
2024,38,243644499,
2024,39,243638934,
2024,38,243637264,
2024,32,243639058,
2024,5,243639062,
2024,41,243643291,
2024,41,243641464,
2024,38,243641464,
2024,41,243641442,
2024,41,243644468,
2024,41,243641502,
2024,41,243637311,
2024,41,243637312,
2024,1,243638892,
2024,1,243641440,
2024,5,245372326,
2024,41,243637317,
2024,41,243637318,
2024,38,243643120,
2024,21,243643174,
2024,5,243923698,
2024,41,243641517,
2024,41,243641518,
2024,41,243641585,
2024,39,243638932,
2024,41,243637220,
2024,5,246183352,
2024,38,243638976,
2024,38,243643137,
2024,41,243643202,
2024,41,243644539,
2024,1,243644510,
2024,31,243637196,
2024,41,243638927,
2024,41,243643265,
2024,21,243643258,
2024,38,243643252,
2024,41,243637232,
2024,5,243638989,
2024,38,243637202,
2024,41,243641602,
2024,39,243644573,
2024,5,243644518,
2024,38,243638952,
2024,39,243638896,
2024,41,243652568,
2024,41,243652569,
2024,1,243648519,
2024,9,243637168,
2024,41,243649328,
2024,41,243652693,
2024,38,243652835,
2024,1,243644663,
2024,41,243647954,
2024,41,243649365,
2024,38,243648633,
2024,41,243652689,
2024,41,243648435,
2024,41,243644631,
2024,5,243648001,
2024,41,243652707,
2024,31,243644638,
2024,41,243647930,
2024,5,243647977,
2024,39,243649390,
2024,41,243647947,
2024,1,243648637,
2024,38,243647952,
2024,38,245818154,
2024,38,243647991,
2024,1,243648158,
2024,41,243648516,
2024,38,243652628,
2024,31,243652698,
2024,31,243648483,
2024,41,243648445,
2024,41,243648446,
2024,5,243649385,
2024,41,243644601,
2024,1,243652658,
2024,21,243652653,
2024,41,243648627,
2024,38,243649320,
2024,5,243648129,
2024,41,243649352,
2024,5,243648151,
2024,38,243652596,
2024,1,243923695,
2024,41,243648049,
2024,41,243648050,
2024,39,243648480,
2024,41,243649306,
2024,41,243648541,
2024,1,243648478,
2024,41,243648623,
2024,39,243652709,
2024,41,243652647,
2024,41,243652648,
2024,41,243652573,
2024,41,243652574,
2024,39,243648042,
2024,5,243652766,
2024,41,243652804,
2024,41,243649319,
2024,5,243648605,
2024,41,243648671,
2024,38,243648672,
2024,41,243649333,
2024,41,243648072,
2024,31,243648606,
2024,5,244072144,
2024,41,243644659,
2024,39,243644603,
2024,1,243648122,
2024,41,243649376,
2024,41,243649371,
2024,38,244072476,
2024,41,243648497,
2024,41,243644640,
2024,1,243652817,
2024,41,243649406,
2024,41,243648510,
2024,41,243648511,
2024,1,243644655,
2024,5,243652783,
2024,5,243648524,
2024,39,243652829,
2024,41,243647918,
2024,41,243648126,
2024,17,243648470,
2024,17,243648471,
2024,41,243649327,
2024,1,243649344,
2024,41,243649345,
2024,41,243648459,
2024,39,243644636,
2024,39,243644593,
2024,41,243652813,
2024,5,243652844,
2024,41,243644611,
2024,39,243652720,
2024,41,243648025,
2024,1,243647928,
2024,21,243649308,
2024,38,245382965,
2024,21,245383057,
2024,21,245371447,
2024,1,245383351,
2024,9,245383348,
2024,21,245383045,
2024,38,245372262,
2024,39,245383016,
2024,41,245370479,
2024,5,245383341,
2024,41,245382930,
2024,42,245372256,
2024,39,243648550,
2024,38,245372329,
2024,39,245371437,
2024,41,245383371,
2024,39,245371339,
2024,38,245371333,
2024,41,245383358,
2024,41,245383002,
2024,41,245370470,
2024,41,245370452,
2024,31,245370402,
2024,5,245371464,
2024,38,245372113,
2024,41,245370438,
2024,38,245372203,
2024,41,245372288,
2024,41,245372289,
2024,41,245382957,
2024,38,245371405,
2024,41,245382953,
2024,41,245372364,
2024,39,245371395,
