data_year,groupb_arrestee_id,weapon_code,weapon_id
2024,54474093,01,51
2024,54474095,01,51
2024,54474101,01,51
2024,54474104,01,51
2024,54474106,01,51
2024,54474065,01,51
2024,54474066,01,51
2024,54474070,01,51
2024,54474071,01,51
2024,54474076,01,51
2024,54474077,01,51
2024,54474079,16,52
2024,54474091,01,51
2024,54474092,01,51
2024,54474103,01,51
2024,54474110,01,51
2024,54474501,01,51
2024,54474505,01,51
2024,54474507,01,51
2024,54474509,01,51
2024,54474115,01,51
2024,54474116,01,51
2024,54474133,01,51
2024,54474136,01,51
2024,54474137,01,51
2024,54474138,01,51
2024,54474142,01,51
2024,54474148,01,51
2024,54474159,01,51
2024,54474161,01,51
2024,54474162,01,51
2024,54474167,01,51
2024,54474168,01,51
2024,54474174,01,51
2024,54474175,01,51
2024,54474194,01,51
2024,54474195,01,51
2024,54474199,01,51
2024,54474201,01,51
2024,54474203,01,51
2024,54474211,01,51
2024,54474120,01,51
2024,54474129,01,51
2024,54474135,01,51
2024,54474145,01,51
2024,54474147,01,51
2024,54474156,01,51
2024,54474165,01,51
2024,54474176,01,51
2024,54474196,01,51
2024,54474207,01,51
2024,54474208,01,51
2024,54474122,01,51
2024,54474123,01,51
2024,54474127,01,51
2024,54474130,01,51
2024,54474134,01,51
2024,54474144,01,51
2024,54474150,01,51
2024,54474153,01,51
2024,54474155,01,51
2024,54474158,01,51
2024,54474160,01,51
2024,54474179,01,51
2024,54474181,01,51
2024,54474183,01,51
2024,54474186,01,51
2024,54474191,01,51
2024,54474197,01,51
2024,54474205,01,51
2024,54474206,01,51
2024,54474209,01,51
2024,54474210,01,51
2024,54474124,01,51
2024,54474125,12,5
2024,54474125,16,52
2024,54474126,01,51
2024,54474131,01,51
2024,54474132,01,51
2024,54474140,01,51
2024,54474141,01,51
2024,54474146,01,51
2024,54474151,01,51
2024,54474152,01,51
2024,54474164,01,51
2024,54474166,01,51
2024,54474171,01,51
2024,54474172,01,51
2024,54474177,01,51
2024,54474187,01,51
2024,54474189,01,51
2024,54474190,01,51
2024,54474192,01,51
2024,54474143,01,51
2024,54474180,01,51
2024,54474182,01,51
2024,54474198,01,51
2024,54474202,01,51
2024,54474204,01,51
2024,54474479,01,51
2024,54474485,01,51
2024,54474488,01,51
2024,54474490,01,51
2024,54474499,01,51
2024,54474502,01,51
2024,54474503,01,51
2024,54474504,01,51
2024,54474510,01,51
2024,54474188,01,51
2024,54474193,01,51
2024,54474475,01,51
2024,54474477,01,51
2024,54474480,01,51
2024,54474491,01,51
2024,54474478,01,51
2024,54474483,01,51
2024,54474487,01,51
2024,54474492,01,51
2024,54474493,01,51
2024,54474494,01,51
2024,54474476,01,51
2024,54474481,01,51
2024,54474484,01,51
2024,54474489,01,51
2024,54474482,01,51
2024,54474500,01,51
2024,54474515,01,51
2024,54474495,01,51
2024,54474506,01,51
2024,54474496,01,51
2024,54474498,01,51
2024,54474511,01,51
2024,54474497,01,51
2024,54476039,01,51
2024,54476291,01,51
2024,54476292,01,51
2024,54143407,01,51
2024,54555349,01,51
2024,54555350,01,51
2024,54555355,01,51
2024,54555358,01,51
2024,54555342,01,51
2024,54555343,01,51
2024,54555344,01,51
2024,54555346,01,51
2024,54555348,01,51
2024,54555351,01,51
2024,54555353,01,51
2024,54555357,01,51
2024,54555341,01,51
2024,54555345,01,51
2024,54555347,01,51
2024,54555352,01,51
2024,54555354,01,51
2024,54555356,01,51
2024,54555359,01,51
2024,54555371,16,52
2024,54555372,01,51
2024,54555374,01,51
2024,54555376,01,51
2024,54555380,01,51
2024,54555386,01,51
2024,54555388,01,51
2024,54555390,01,51
2024,54555392,01,51
2024,54555394,01,51
2024,54555398,01,51
2024,54555405,01,51
2024,54555410,01,51
2024,54555412,01,51
2024,54555413,01,51
2024,54555415,01,51
2024,54555421,01,51
2024,54555424,01,51
2024,54555425,01,51
2024,54555429,01,51
2024,54555436,01,51
2024,54555438,01,51
2024,54555440,01,51
2024,54555442,01,51
2024,54555447,01,51
2024,54555448,01,51
2024,54555450,01,51
2024,54555451,01,51
2024,54555456,01,51
2024,54555458,01,51
2024,54555461,01,51
2024,54555363,01,51
2024,54555364,01,51
2024,54555365,01,51
2024,54555366,01,51
2024,54555367,01,51
2024,54555373,01,51
2024,54555375,01,51
2024,54555379,01,51
2024,54555383,01,51
2024,54555385,01,51
2024,54555387,01,51
2024,54555391,01,51
2024,54555393,01,51
2024,54555395,01,51
2024,54555401,01,51
2024,54555407,01,51
2024,54555409,01,51
2024,54555416,01,51
2024,54555417,01,51
2024,54555419,01,51
2024,54555423,01,51
2024,54555427,01,51
2024,54555431,01,51
2024,54555433,01,51
2024,54555435,01,51
2024,54555439,01,51
2024,54555443,01,51
2024,54555445,01,51
2024,54555452,01,51
2024,54555454,01,51
2024,54555457,01,51
2024,54555459,01,51
2024,54555368,01,51
2024,54555369,01,51
2024,54555370,01,51
2024,54555377,01,51
2024,54555378,01,51
2024,54555381,01,51
2024,54555382,01,51
2024,54555384,01,51
2024,54555389,01,51
2024,54555396,01,51
2024,54555397,01,51
2024,54555399,01,51
2024,54555400,01,51
2024,54555402,01,51
2024,54555403,01,51
2024,54555404,01,51
2024,54555406,01,51
2024,54555408,01,51
2024,54555411,01,51
2024,54555414,01,51
2024,54555418,01,51
2024,54555420,01,51
2024,54555422,01,51
2024,54555426,01,51
2024,54555428,01,51
2024,54555430,01,51
2024,54555432,01,51
2024,54555434,01,51
2024,54555437,01,51
2024,54555441,01,51
2024,54555444,01,51
2024,54555446,01,51
2024,54555449,01,51
2024,54555453,01,51
2024,54555455,01,51
2024,54555460,01,51
2024,54555462,01,51
2024,54555514,01,51
2024,54555512,01,51
2024,54555515,01,51
2024,54555517,01,51
2024,54555520,01,51
2024,54555522,01,51
2024,54555524,01,51
2024,54555529,01,51
2024,54555530,01,51
2024,54555532,01,51
2024,54555536,01,51
2024,54555541,01,51
2024,54555546,01,51
2024,54555548,01,51
2024,54555551,01,51
2024,54555554,01,51
2024,54555558,01,51
2024,54555560,01,51
2024,54555562,01,51
2024,54555564,01,51
2024,54555566,01,51
2024,54555568,01,51
2024,54555571,01,51
2024,54555513,01,51
2024,54555516,01,51
2024,54555519,01,51
2024,54555526,01,51
2024,54555528,01,51
2024,54555534,01,51
2024,54555535,01,51
2024,54555537,01,51
2024,54555538,01,51
2024,54555539,01,51
2024,54555543,01,51
2024,54555545,01,51
2024,54555547,01,51
2024,54555550,01,51
2024,54555553,01,51
2024,54555518,01,51
2024,54555521,01,51
2024,54555523,01,51
2024,54555525,01,51
2024,54555527,01,51
2024,54555531,01,51
2024,54555533,01,51
2024,54555540,01,51
2024,54555542,01,51
2024,54555544,01,51
2024,54555549,01,51
2024,54555552,01,51
2024,54555556,01,51
2024,54555557,01,51
2024,54555559,01,51
2024,54555561,01,51
2024,54555563,01,51
2024,54555572,01,51
2024,54555577,01,51
2024,54555584,01,51
2024,54555586,01,51
2024,54555587,01,51
2024,54555593,01,51
2024,54555595,01,51
2024,54555598,01,51
2024,54555602,01,51
2024,54555605,01,51
2024,54555555,01,51
2024,54555565,01,51
2024,54555567,01,51
2024,54555569,01,51
2024,54555570,01,51
2024,54555574,01,51
2024,54555576,01,51
2024,54555589,01,51
2024,54555591,01,51
2024,54555592,01,51
2024,54555596,01,51
2024,54555597,01,51
2024,54555601,01,51
2024,54555603,01,51
2024,54555608,01,51
2024,54555611,01,51
2024,54555613,01,51
2024,54555573,01,51
2024,54555575,01,51
2024,54555585,01,51
2024,54555588,01,51
2024,54555590,01,51
2024,54555594,01,51
2024,54555600,01,51
2024,54555604,01,51
2024,54555606,01,51
2024,54555609,01,51
2024,54555610,01,51
2024,54555607,01,51
2024,54555612,01,51
2024,54555614,01,51
2024,54555615,01,51
2024,54555617,01,51
2024,54555619,01,51
2024,54555622,01,51
2024,54555627,01,51
2024,54555629,01,51
2024,54555631,01,51
2024,54555636,01,51
2024,54555637,01,51
2024,54555616,01,51
2024,54555618,01,51
2024,54555621,01,51
2024,54555624,01,51
2024,54555620,01,51
2024,54555623,01,51
2024,54555625,01,51
2024,54555626,01,51
2024,54555630,01,51
2024,54555632,01,51
2024,54555628,01,51
2024,54555634,01,51
2024,54555635,01,51
