data_year,victim_id,injury_id
2024,229193755,5
2024,229193756,5
2024,229193789,4
2024,229190335,4
2024,229189689,4
2024,229190350,4
2024,229189069,4
2024,229189586,4
2024,229185679,4
2024,229185626,4
2024,229189117,5
2024,229189118,5
2024,229190393,4
2024,229190387,4
2024,229189487,4
2024,229185659,4
2024,229190418,4
2024,229189499,4
2024,229193774,5
2024,229193812,4
2024,229188916,4
2024,229189121,4
2024,229189122,4
2024,229189461,5
2024,229190343,4
2024,229190344,4
2024,229190358,5
2024,229190359,4
2024,229189450,4
2024,229185655,4
2024,229185616,5
2024,229193797,4
2024,229193826,5
2024,229185632,4
2024,229193710,4
2024,229189026,4
2024,229190325,3
2024,230917703,4
2024,230917793,6
2024,230906349,4
2024,230918087,5
2024,230918084,4
2024,230918084,8
2024,230917781,5
2024,230907134,5
2024,230917757,5
2024,230905401,4
2024,230917670,5
2024,230907129,5
2024,229189532,4
2024,230907201,4
2024,230906338,5
2024,230918108,4
2024,230906244,4
2024,230906239,4
2024,230918095,4
2024,230917740,4
2024,230917740,6
2024,230905393,5
2024,230905377,4
2024,230905336,3
2024,230906989,4
2024,230905365,4
2024,230907079,4
2024,230907159,4
2024,230917695,4
2024,230906308,4
2024,230917692,4
2024,230907237,4
2024,230907238,4
2024,230907239,4
2024,230906300,4
2024,230905388,4
2024,230905389,4
2024,230905407,5
2024,230905408,5
2024,230905318,4
2024,230906341,4
2024,230905331,3
2024,230905331,8
2024,230906378,5
2024,230906280,4
2024,230918065,4
2024,230906286,4
2024,230917772,4
2024,230906282,5
2024,230906283,5
2024,230906993,4
2024,230972514,5
2024,230906231,4
2024,230917659,4
2024,230917716,4
2024,230905351,5
2024,230906331,4
2024,230906361,5
2024,230917734,4
2024,230917671,5
2024,230917672,5
2024,230917685,4
2024,230918117,5
2024,230918118,5
2024,230917720,4
2024,230917790,8
2024,230907258,3
2024,230907105,4
2024,230917724,2
2024,230917724,6
2024,230918093,4
2024,230906266,4
2024,230918047,4
2024,230917778,1
2024,230917763,4
2024,230917764,4
2024,230917746,8
2024,230907209,5
2024,230918058,5
2024,230917737,4
2024,230905315,4
2024,230917729,4
2024,230906333,4
2024,230906342,4
2024,230905339,5
2024,230917714,4
2024,230906373,4
2024,230906375,4
2024,230917775,4
2024,230907182,5
2024,230917771,5
2024,230917791,1
2024,230917702,5
2024,230918051,4
2024,230918052,4
2024,230918053,4
2024,230918054,4
2024,230918112,4
2024,230907178,5
2024,230918057,4
2024,230918055,4
2024,230917762,4
2024,230919211,5
2024,230918103,4
2024,230918161,5
2024,230920733,5
2024,230919174,3
2024,230919175,3
2024,230919601,5
2024,230919600,4
2024,230919904,4
2024,230919002,4
2024,230919002,8
2024,230920584,5
2024,230919621,4
2024,230919105,4
2024,230919990,1
2024,230919961,4
2024,230919639,5
2024,230919640,5
2024,230919050,4
2024,230919931,4
2024,230919663,4
2024,230920680,5
2024,230963850,5
2024,230919593,5
2024,230919062,2
2024,230919899,5
2024,230919691,5
2024,230919692,6
2024,230919693,5
2024,230919694,6
2024,230919029,4
2024,230905298,6
