data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,61649366,,53
2024,61649338,,51
2024,61649413,,51
2024,61649646,,51
2024,61649647,,51
2024,61649675,,51
2024,61649676,,51
2024,61649665,,51
2024,61649669,,5
2024,61649418,,51
2024,61649419,,51
2024,61649629,,52
2024,61649415,,51
2024,61649416,,51
2024,61649628,,51
2024,61649362,,51
2024,61649375,,51
2024,61649364,,51
2024,61649671,,51
2024,62026773,,51
2024,61649664,,51
2024,61649361,,51
2024,61649391,,51
2024,61649397,,51
2024,61649633,,51
2024,61649390,,51
2024,61649374,,52
2024,61649406,,51
2024,61649407,,51
2024,61649408,,51
2024,61649411,,51
2024,61649412,,51
2024,61649682,,51
2024,61649648,,51
2024,62257851,,51
2024,63254250,,51
2024,62257884,,51
2024,62257870,,51
2024,62257871,,51
2024,62257850,,51
2024,62257898,,5
2024,62257919,,51
2024,62257933,,51
2024,62257934,,51
2024,62257935,,51
2024,62257951,,51
2024,62257904,,51
2024,62257876,,51
2024,62257906,,51
2024,62257941,,51
2024,62257955,,51
2024,62257930,,51
2024,62257905,,52
2024,62257880,,1
2024,62257959,,51
2024,62257922,,51
2024,62257888,,51
2024,62257853,,51
2024,62257946,,51
2024,62257928,,51
2024,62257921,,51
2024,62257926,,51
2024,62257927,,51
2024,62257899,,51
2024,62257938,,51
2024,62257877,,51
2024,62257878,,51
2024,62257858,,51
2024,62257943,,51
2024,62257901,,51
2024,62257956,,51
2024,62257950,,51
2024,62257907,,51
2024,62257902,,51
2024,62257852,,51
2024,62257874,,51
2024,62257861,,51
2024,62257875,,51
2024,62257932,,51
2024,62257923,,51
2024,62257924,,51
2024,62257912,,51
2024,62257887,,51
2024,62257859,,51
2024,62257939,,51
2024,62257944,,51
2024,62257897,,51
2024,62257856,,51
2024,62257893,,51
2024,62257867,,51
2024,62257945,,51
2024,62257961,,51
2024,62257908,,51
2024,62257895,,51
2024,62257949,,51
2024,62257891,,51
2024,62257896,,51
2024,62257960,,51
2024,62257931,,52
2024,62257849,,51
2024,62257860,,51
2024,62257918,,51
2024,62257894,,51
2024,62257947,,51
2024,62257882,,51
2024,62257952,,51
2024,62257863,,51
2024,62257854,,52
2024,62257920,,51
2024,62257925,,51
2024,62257872,,51
2024,62257862,,51
2024,62257913,,51
2024,62257914,,51
2024,62257900,,51
2024,62257948,,51
2024,62257883,,51
2024,62257892,,51
2024,62257865,,51
2024,62257942,,51
2024,62257890,,51
2024,62257866,,51
2024,62257885,,51
2024,62257857,,51
2024,62257868,,5
2024,62257879,,51
2024,62257909,,51
2024,62668969,,51
2024,62668970,,51
2024,62668971,,51
2024,62668972,,51
2024,62257911,,51
2024,62668942,,51
2024,62668943,,51
2024,62668944,,51
2024,62257953,,51
2024,62257954,,51
2024,62257889,,51
2024,62257936,,51
2024,62257937,,51
2024,62257958,,52
2024,62257855,,51
2024,62257886,,1
2024,62257881,,51
2024,62257869,,51
2024,62257910,,51
2024,62257864,,51
2024,62257940,,51
2024,62901594,,51
2024,62901276,,52
2024,62900785,,53
2024,62900786,,51
2024,62901487,,51
2024,62901475,,51
2024,62900535,,51
2024,62901593,,51
2024,62900547,,51
2024,62901605,,51
2024,62900775,,51
2024,62900776,,51
2024,62900777,,51
2024,62901470,,51
2024,62900527,,51
2024,62901271,,51
2024,62900544,,51
2024,62901477,,51
2024,62901478,,51
2024,62901479,,51
2024,62901480,,51
2024,62900518,,51
2024,62900769,,51
2024,62900780,,51
2024,62900801,,51
2024,62257848,,51
2024,62901490,,51
2024,62900806,,51
2024,62901278,,51
2024,62901482,,51
2024,62901283,,51
2024,62901595,,51
2024,62901289,,51
2024,62901467,,53
2024,62901468,,51
2024,62901469,,51
2024,62901261,,51
2024,62900516,,51
2024,62900799,,51
2024,62900800,,51
2024,62901609,,51
2024,62901279,,51
2024,62900771,,5
2024,62900797,,51
2024,62900546,,51
2024,62900517,,51
2024,62901481,,51
2024,62901273,,51
2024,61498015,,51
2024,62901486,,51
2024,62900792,,51
2024,62900538,,51
2024,62901282,,51
2024,62900536,,51
2024,62900810,,51
2024,62900808,,5
2024,62900790,,5
2024,62900791,,51
2024,62901610,,51
2024,62901597,,51
2024,62900781,,51
2024,62901270,,51
2024,62900533,,51
2024,62900552,,51
